transform,depth,residual_k,n_alleles,pds_S,pds_B,pds_S_lo,pds_S_hi,pds_B_lo,pds_B_hi,top1_S,top1_B,delta,delta_lo,delta_hi,signflip_p,alleles_delta_gt0,sib_margin_S,sib_margin_B,sib_delta_exact_p,sib_exact_p_floor
log2_cpm1,10000,1,18,0.8104575163398693,0.7135893246187364,0.760373774509804,0.8602124183006536,0.637934368191721,0.7908510348583878,0.29305555555555557,0.17731481481481481,0.09686819172113291,0.06418777233115468,0.13300721677559915,9.999000099990002e-05,18,0.008215567360811414,0.004594890316988225,0.0625,0.0625
log2_cpm1,20000,1,18,0.8241830065359478,0.7104575163398692,0.7606209150326797,0.8847242647058824,0.6241271786492374,0.7983932461873637,0.3430555555555556,0.19861111111111113,0.11372549019607844,0.07281862745098042,0.1595322712418301,9.999000099990002e-05,18,0.011874189790831768,0.005998138776334235,0.0625,0.0625
log2_cpm1,50000,1,18,0.8723856209150327,0.6834694989106754,0.8085763888888889,0.9290849673202614,0.5815897331154682,0.7874230664488018,0.4680555555555555,0.2162037037037037,0.18891612200435726,0.12459014161220035,0.2556651688453159,0.00019998000199980003,17,0.020835537647856384,0.009132277909085508,0.0625,0.0625
log2_cpm1,100000,1,18,0.9002450980392156,0.6605936819172115,0.8362745098039217,0.9556372549019608,0.5443627450980393,0.780255991285403,0.5805555555555556,0.22685185185185183,0.2396514161220043,0.15424632352941173,0.32660879629629624,9.999000099990002e-05,17,0.03165788322066412,0.013271473229363473,0.0625,0.0625
log2_cpm1,200000,1,18,0.9325163398692811,0.652124183006536,0.8723039215686276,0.982107843137255,0.5266884531590414,0.7808578431372549,0.75,0.24953703703703706,0.28039215686274505,0.179927151416122,0.3800694444444444,9.999000099990002e-05,16,0.048696123311171624,0.01867698240383191,0.0625,0.0625
log2_cpm1,400000,1,18,0.9682189542483661,0.6552015250544663,0.9272875816993464,0.997549019607843,0.5237745098039217,0.7892429193899781,0.875,0.2791666666666667,0.3130174291938998,0.1947433278867102,0.4276164215686274,9.999000099990002e-05,16,0.06887335217508493,0.02453449105827301,0.0625,0.0625
log2_cpm1,250,5,18,0.5875816993464053,0.5725217864923748,0.5631495098039214,0.6123386437908497,0.5466230936819172,0.59823052832244,0.09305555555555556,0.08842592592592592,0.015059912854030497,-0.004357979302832241,0.036982570806100214,0.19368063193680632,11,0.0015782375232705932,0.001267056890895192,0.75,0.0625
log2_cpm1,500,5,18,0.6499999999999999,0.6252995642701525,0.6154411764705884,0.6841503267973856,0.5944982298474945,0.6578982843137255,0.12361111111111112,0.10509259259259258,0.02470043572984752,-0.000109613289760365,0.05051742919389981,0.0770922907709229,11,0.002989408486186279,0.0018927826512153373,0.1875,0.0625
log2_cpm1,1000,5,18,0.6815359477124183,0.6516884531590413,0.6377450980392156,0.7276143790849673,0.6106753812636165,0.6945826525054467,0.14861111111111108,0.11666666666666664,0.029847494553376912,0.009530909586056619,0.05008238017429194,0.010798920107989201,15,0.003995081690581101,0.002330899034993895,0.0625,0.0625
log2_cpm1,2000,5,18,0.7241830065359477,0.6874183006535947,0.6745098039215686,0.775328839869281,0.6352396514161219,0.7414501633986927,0.17916666666666664,0.1388888888888889,0.03676470588235294,0.02154071350762524,0.05147058823529412,0.00039996000399960006,14,0.004510809054575486,0.0026739471945541717,0.0625,0.0625
log2_cpm1,5000,5,18,0.7834967320261438,0.7166666666666667,0.7322691993464051,0.8341503267973855,0.6520915032679738,0.7820540577342048,0.23750000000000002,0.1787037037037037,0.06683006535947716,0.040685593681917216,0.09850354030501096,0.00029997000299970003,17,0.006371907938261039,0.003790528101233942,0.0625,0.0625
log2_cpm1,10000,5,18,0.8230392156862745,0.7362745098039216,0.7762234477124184,0.8687091503267974,0.668463371459695,0.8038133169934641,0.3097222222222223,0.19768518518518519,0.08676470588235291,0.0569982298474945,0.11791938997821348,9.999000099990002e-05,18,0.008116138963022072,0.004423197111901607,0.0625,0.0625
log2_cpm1,20000,5,18,0.8712418300653595,0.7288398692810456,0.8252430555555555,0.9118464052287583,0.6512520424836601,0.8081175108932461,0.425,0.21435185185185182,0.14240196078431372,0.09545070806100214,0.1918579793028322,9.999000099990002e-05,18,0.011454024606303438,0.005498648414472099,0.0625,0.0625
log2_cpm1,50000,5,18,0.9192810457516339,0.740958605664488,0.8683823529411765,0.9615196078431373,0.6558537581699346,0.8258993736383442,0.6236111111111111,0.2597222222222222,0.178322440087146,0.11710103485838778,0.24360089869281046,0.00019998000199980003,18,0.020171032421212712,0.008621356172104477,0.0625,0.0625
log2_cpm1,100000,5,18,0.9681372549019608,0.7474128540305011,0.9374979575163399,0.9915849673202614,0.6556079793028323,0.838649237472767,0.8180555555555555,0.2888888888888889,0.2207244008714597,0.14291734749455343,0.29899373638344223,0.00019998000199980003,17,0.03215556979242386,0.011954775527377523,0.0625,0.0625
log2_cpm1,200000,5,18,0.9921568627450981,0.7678104575163398,0.9829248366013074,0.9997549019607843,0.6731467864923747,0.8593171296296295,0.952777777777778,0.34444444444444444,0.22434640522875815,0.13700912309368193,0.3149537037037037,0.00019998000199980003,17,0.052312866470204035,0.016997099412559814,0.0625,0.0625
log2_cpm1,400000,5,18,1.0,0.7921023965141613,1.0,1.0,0.6986363017429195,0.879003948801743,1.0,0.40462962962962956,0.2078976034858388,0.12099605119825704,0.3013636982570806,9.999000099990002e-05,16,0.08267357897469237,0.02345667188289793,0.0625,0.0625
shifted_log_count,250,0,18,0.654656862745098,0.6264161220043573,0.6150326797385621,0.6929758986928105,0.5942790032679739,0.6583612472766884,0.1222222222222222,0.09814814814814815,0.02824074074074072,0.004002587145969497,0.05119893790849673,0.0354964503549645,13,0.003918527474806442,0.0026149927403082947,0.625,0.0625
shifted_log_count,500,0,18,0.7129084967320263,0.6858660130718954,0.6760600490196078,0.7518790849673204,0.6470588235294117,0.725735294117647,0.17222222222222222,0.1388888888888889,0.027042483660130703,0.007270561002178601,0.047005038126361656,0.0231976802319768,14,0.006260861122153743,0.00404229848404416,0.3125,0.0625
shifted_log_count,1000,0,18,0.7801470588235294,0.7416122004357297,0.7392136437908498,0.820424836601307,0.6974945533769064,0.7861124727668846,0.22777777777777775,0.18333333333333335,0.03853485838779955,0.015468409586056619,0.0612200435729847,0.004399560043995601,14,0.007426523988573503,0.005553863800810981,0.1875,0.0625
shifted_log_count,2000,0,18,0.8238562091503269,0.7801470588235294,0.7824346405228758,0.8643811274509804,0.7287282135076252,0.8306113834422656,0.2930555555555555,0.2222222222222222,0.04370915032679738,0.026007625272331174,0.06498025599128537,9.999000099990002e-05,17,0.010227645267402623,0.006863758280544268,0.0625,0.0625
shifted_log_count,5000,0,18,0.8575163398692811,0.7998910675381263,0.8133169934640523,0.8989379084967319,0.7404411764705883,0.8571929466230936,0.3819444444444444,0.2791666666666667,0.05762527233115468,0.03360498366013074,0.0866019880174292,0.00019998000199980003,16,0.013551876129041384,0.00890338332333148,0.0625,0.0625
shifted_log_count,10000,0,18,0.8873366013071897,0.809177559912854,0.8370057189542484,0.9311274509803922,0.7468668300653594,0.8685212418300653,0.47916666666666674,0.29953703703703705,0.07815904139433555,0.04939542483660137,0.1141081154684096,9.999000099990002e-05,18,0.017311651600268603,0.01078327149129232,0.0625,0.0625
shifted_log_count,20000,0,18,0.9209150326797386,0.819607843137255,0.8723039215686275,0.9598039215686275,0.7529404956427015,0.881482843137255,0.5916666666666666,0.33287037037037037,0.10130718954248362,0.06514161220043574,0.1458088235294117,0.00019998000199980003,17,0.021587461698119738,0.013142020204681151,0.0625,0.0625
