perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"entrectinib|5.0",True,False,False,239.608,1899.62
"epirubicin|0.05",False,False,False,45.9849,950.193
"epirubicin|0.5",True,False,False,2394.8,4894.76
"epirubicin|5.0",True,False,False,846.578,4488.14
"eplerenone|0.05",True,False,False,19.3409,1419.75
"eplerenone|0.5",True,False,False,417.335,3596.59
"eplerenone|5.0",True,False,False,-147.195,1135.27
"erdafitinib|0.05",True,False,False,265.259,1964.04
"erdafitinib|5.0",True,False,False,199.46,1642.57
"erk5-in-2|0.05",True,False,False,297.458,2250.22
"erk5-in-2|0.5",True,False,False,-42.2479,2057.62
"erk5-in-2|5.0",True,False,False,575.152,3167.74
"erlotinib|0.05",False,False,False,307.861,2262.66
"erlotinib|0.5",True,False,False,299.361,2146.3
"erlotinib|5.0",False,False,False,1383.66,6156.3
"erythromycin|0.05",True,False,False,887.543,2836.63
"erythromycin|0.5",False,False,False,158.042,1141.23
"erythromycin|5.0",False,False,False,1265.99,6078.98
"esmolol|0.05",False,False,False,233.533,1290.97
"esmolol|0.5",True,False,False,4.3381,1269.85
"esmolol|5.0",False,False,False,897.762,3802.17
"estrone sulfate|0.05",True,False,False,647.468,6818.99
"estrone sulfate|0.5",True,False,False,-345.108,888.152
"estrone sulfate|5.0",True,False,False,-297.267,522.598
"etc-206|0.05",False,False,False,617.473,2630.63
"etc-206|0.5",False,False,False,1383.39,5325.37
"etc-206|5.0",True,False,False,145.761,1577.81
"everolimus|0.05",False,False,False,2283.74,9539.42
"everolimus|0.5",True,False,False,-68.2377,975.33
"everolimus|5.0",True,False,False,274.447,3695.53
"ex229|0.05",False,False,False,587.11,2433.85
"ex229|0.5",True,False,False,-182.963,1242.49
"ex229|5.0",True,False,False,308.744,2544.82
"fedratinib|0.05",True,False,False,-133.225,852.493
"fedratinib|0.5",True,False,False,-249.402,853.021
"fedratinib|5.0",True,False,False,397.466,3776.61
"fenofibrate|0.05",True,False,False,66.198,1895.76
"fenofibrate|0.5",False,False,False,44.7191,1762.62
"fenofibrate|5.0",True,False,False,575.078,4288.11
"ferulic acid|0.05",True,False,False,359.281,3091.39
"ferulic acid|0.5",True,False,False,757.246,1999.83
"ferulic acid|5.0",False,False,False,311.792,2162.12
"filgotinib|0.05",True,False,False,151.324,1309.88
"filgotinib|0.5",True,False,False,81.1467,1323.74
"filgotinib|5.0",True,False,False,507.176,4787.35
"finasteride|0.05",True,False,False,385.756,2422.46
"finasteride|0.5",True,False,False,423.709,2296.19
"finasteride|5.0",False,False,False,93.5958,1429.46
"fingolimod|0.05",True,False,False,344.144,4992.43
"fingolimod|0.5",True,False,False,-220.66,829.704
"fingolimod|5.0",True,False,False,-126.221,1532.45
"flumatinib|0.05",True,False,False,475.113,2449.7
"flumatinib|0.5",False,False,False,798.246,6768.61
"flumatinib|5.0",False,False,False,-418.231,736.699
"flutamide|0.05",False,False,False,-106.046,911.83
"flutamide|0.5",True,False,False,-408.631,330.804
"flutamide|5.0",True,False,False,-27.6759,965.559
"fluvoxamine|0.05",True,False,False,91.6784,2279.11
"fluvoxamine|0.5",True,False,False,1204.57,2580.59
"fluvoxamine|5.0",False,False,False,70.8208,1037.71
"folic acid|0.05",True,False,False,-115.009,1405.79
"folic acid|0.5",True,False,False,42.0517,952.919
"folic acid|5.0",True,False,False,1240.35,3126.77
"fostamatinib|0.05",True,False,False,40.1168,1890.28
"fostamatinib|0.5",True,False,False,-156.956,802.867
"fostamatinib|5.0",False,False,False,456.188,3261.92
"fulvestrant|0.05",True,False,False,-204.192,766.838
"fulvestrant|0.5",True,False,False,2610.28,11658.9
"fulvestrant|5.0",True,False,False,179.524,1278.47
"fumaric acid|0.05",False,False,False,-159.907,839.333
"fumaric acid|0.5",False,False,False,-101.336,1578.34
"fumaric acid|5.0",False,False,False,-197.344,1378.06
"furosemide|0.05",True,False,False,-167.715,1367.39
"furosemide|0.5",True,False,False,-292.551,776.174
"furosemide|5.0",False,False,False,641.236,3745.1
"fusidic acid|0.05",False,False,False,107.833,1147.93
"fusidic acid|0.5",True,False,False,-1.74332,1059.11
"fusidic acid|5.0",False,False,False,410.452,2369.46
"futibatinib|0.05",True,False,False,861.228,3336.92
"futibatinib|0.5",True,False,False,-51.5787,2054.77
"futibatinib|5.0",True,False,False,296.736,2761.05
"gallic acid|0.05",False,False,False,1471.41,7588.8
"gallic acid|0.5",True,False,False,389.732,3141.43
"gallic acid|5.0",False,False,False,22.0247,1023.8
"gefitinib|0.05",False,False,False,490.865,2787.38
"gefitinib|0.5",True,False,False,-94.2122,993.515
"gefitinib|5.0",False,False,False,1215.07,5584.3
"gemcitabine|0.05",False,False,False,608.497,4720.67
"gemcitabine|0.5",True,False,False,789.783,2658.55
"gemcitabine|5.0",True,False,False,-130.887,1105.6
"gemfibrozil|0.05",True,False,False,-185.01,1545.12
"gemfibrozil|0.5",True,False,False,-328.792,983.814
"gemfibrozil|5.0",True,False,False,-191.858,953.173
"glasdegib|0.05",True,False,False,281.054,2352.26
"glasdegib|0.5",True,False,False,2205.2,12532.5
"glasdegib|5.0",True,False,False,162.775,1792.55
"glycyrrhizic acid|0.05",True,False,False,-23.5752,895.35
"glycyrrhizic acid|0.5",True,False,False,-291.796,590.979
"glycyrrhizic acid|5.0",True,False,False,-19.8539,1075.51
"goserelin|0.05",False,False,False,1258.22,5100.27
"goserelin|0.5",True,False,False,33.9048,1255.67
"goserelin|5.0",True,False,False,1466.67,5969.42
"gsk1059615|0.05",True,False,False,124.834,2270.47
"gsk1059615|0.5",True,False,False,-380.997,879.829
"gsk1059615|5.0",True,False,False,44.0106,1330.04
"harringtonine|0.05",True,False,False,412.065,1921.84
"harringtonine|0.5",True,False,False,823.003,3124.63
"harringtonine|5.0",True,False,False,164.255,1806.16
"hesperidin|0.05",True,False,False,153.599,2545.8
"hesperidin|0.5",True,False,False,247.369,3307.93
"hesperidin|5.0",True,False,False,168.387,2271.39
"hexylresorcinol|0.05",True,False,False,1215.62,5968.99
"hexylresorcinol|0.5",True,False,False,207.336,2375.86
"hexylresorcinol|5.0",True,False,False,3679.39,10153.9
"hi-topk-032|0.05",True,False,False,2454.3,5766.63
"hi-topk-032|0.5",False,False,False,347.493,2458.15
"hi-topk-032|5.0",True,False,False,-249.93,890.426
"homoharringtonine|0.05",True,False,False,-369.76,674.302
"homoharringtonine|0.5",True,False,False,103.561,847.251
"homoharringtonine|5.0",True,False,False,438.762,1283.89
"hydroxyfasudil|0.05",False,False,False,1020.21,6745.87
"hydroxyfasudil|0.5",True,False,False,304.284,3130.58
"hydroxyfasudil|5.0",True,False,False,-416.825,451.829
"hydroxyurea|0.05",True,False,False,-339.281,492.233
"hydroxyurea|0.5",True,False,False,56.2559,2596.2
"hydroxyurea|5.0",False,False,False,317.643,2035.19
