perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Gandotinib (LY2784544) | 10.0",False,False,False,2667.57,9575.01
"Gandotinib (LY2784544) | 100.0",False,False,False,161.398,2484.37
"Gandotinib (LY2784544) | 1000.0",False,False,False,389.45,2536.27
"Gandotinib (LY2784544) | 10000.0",False,False,False,5907.4,13352.5
"Givinostat (ITF2357) | 10.0",False,False,False,1152.03,5682.78
"Givinostat (ITF2357) | 100.0",False,False,False,105.012,2073.01
"Glesatinib?(MGCD265) | 10.0",False,False,False,-7.99573,3460.53
"Glesatinib?(MGCD265) | 100.0",False,False,False,-224.641,3540.29
"Glesatinib?(MGCD265) | 1000.0",False,False,False,-754.208,1037.6
"Hesperadin | 10.0",False,False,False,2218.99,6386.68
"Hesperadin | 1000.0",True,False,False,3768.11,7489.29
"INO-1001 (3-Aminobenzamide) | 10.0",False,False,False,496.869,2403.18
"INO-1001 (3-Aminobenzamide) | 100.0",False,False,False,33.365,3172.15
"INO-1001 (3-Aminobenzamide) | 1000.0",False,False,False,-378.083,2398.38
"INO-1001 (3-Aminobenzamide) | 10000.0",False,False,False,871.403,6526.86
"IOX2 | 10.0",False,False,False,964.241,4945.21
"IOX2 | 100.0",False,False,False,137.035,4431.92
"IOX2 | 1000.0",False,False,False,-428.506,1803.36
"IOX2 | 10000.0",False,False,False,638.487,3695.38
"ITSA-1 (ITSA1) | 10.0",False,False,False,583.542,5402
"ITSA-1 (ITSA1) | 100.0",False,False,False,-126.026,1623.42
"ITSA-1 (ITSA1) | 1000.0",False,False,False,912.225,6595.15
"ITSA-1 (ITSA1) | 10000.0",False,False,False,-296.641,4236.61
"Iniparib (BSI-201) | 10.0",False,False,False,-381.557,2295.42
"Iniparib (BSI-201) | 100.0",True,False,False,53.6263,2163.83
"Iniparib (BSI-201) | 1000.0",False,False,False,-251.328,2793.14
"Iniparib (BSI-201) | 10000.0",False,False,False,2268.97,17419.1
"Ivosidenib (AG-120) | 10.0",False,False,False,-63.0326,2706.29
"Ivosidenib (AG-120) | 100.0",False,False,False,250.164,5965.64
"Ivosidenib (AG-120) | 1000.0",False,False,False,542.672,3190.74
"Ivosidenib (AG-120) | 10000.0",False,False,False,-655.616,1574.91
"JNJ-26854165 (Serdemetan) | 10.0",False,False,False,499.743,5078.44
"JNJ-26854165 (Serdemetan) | 100.0",False,False,False,-630.508,1509.62
"JNJ-26854165 (Serdemetan) | 1000.0",False,False,False,57.3001,2940.11
"JNJ-26854165 (Serdemetan) | 10000.0",False,False,False,795.835,4715.18
"JNJ-7706621 | 10.0",False,False,False,983.57,5006.35
"JNJ-7706621 | 100.0",False,False,False,117.158,4756.39
"JNJ-7706621 | 1000.0",False,False,False,1105.21,6742.21
"KW-2449 | 10.0",False,False,False,-1078.5,377.678
"KW-2449 | 100.0",False,False,False,384.288,4106.33
"KW-2449 | 1000.0",False,False,False,1069.98,3156.84
"Ki16425 | 10.0",False,False,False,-155.83,3331.48
"Ki16425 | 100.0",False,False,False,187.912,6713.77
"Ki16425 | 1000.0",False,False,False,237.658,5115.73
"Ki16425 | 10000.0",False,False,False,-332.836,1911.32
"Ki8751 | 10.0",False,False,False,-710.145,1604
"Ki8751 | 100.0",False,False,False,-75.6137,3460.83
"Ki8751 | 1000.0",False,False,False,-180.195,3403.13
"Lapatinib (GW-572016) Ditosylate | 10.0",False,False,False,574.8,3908.98
"Lapatinib (GW-572016) Ditosylate | 100.0",False,False,False,76.3806,3416.05
"Lapatinib (GW-572016) Ditosylate | 1000.0",False,False,False,2086.17,9419.61
"Lapatinib (GW-572016) Ditosylate | 10000.0",False,False,False,-664.22,1393.16
"Lenalidomide (CC-5013) | 10.0",False,False,False,-473.132,1419.26
"Lenalidomide (CC-5013) | 100.0",False,False,False,887.203,8608.25
"Lenalidomide (CC-5013) | 1000.0",False,False,False,449.86,4827.95
"Lenalidomide (CC-5013) | 10000.0",False,False,False,-274.397,1410.34
"Linifanib (ABT-869) | 10.0",False,False,False,72.6462,2148.14
"Linifanib (ABT-869) | 100.0",False,False,False,389.579,3704.34
"Linifanib (ABT-869) | 1000.0",False,False,False,-474.858,2747.48
"Linifanib (ABT-869) | 10000.0",False,False,False,1162.38,3984.85
"Lomustine  | 10.0",False,False,False,640.777,3596.84
"Lomustine  | 100.0",False,False,False,-70.7395,2781.22
"Lomustine  | 1000.0",False,False,False,-256.277,3017.86
"Lomustine  | 10000.0",False,False,False,-692.194,1435.91
"Luminespib (AUY-922, NVP-AUY922) | 10.0",False,False,False,-190.93,3436.44
"M344 | 10.0",False,False,False,79.1319,4749.6
"M344 | 100.0",False,False,False,-250.518,2065.51
"MC1568 | 10.0",False,False,False,433.491,2377.26
"MC1568 | 100.0",False,False,False,217.822,3311.06
"MC1568 | 1000.0",False,False,False,-187.759,1864.55
"MC1568 | 10000.0",False,False,False,144.611,2318.47
"MK-0752 | 10.0",False,False,False,775.972,6009.4
"MK-0752 | 100.0",False,False,False,957.65,10586.6
"MK-0752 | 1000.0",False,False,False,348.471,5065.28
"MK-0752 | 10000.0",False,False,False,196.066,4129.29
"MK-5108 (VX-689) | 10.0",False,False,False,331.99,2055.68
"MK-5108 (VX-689) | 100.0",False,False,False,397.362,5183.12
"MK-5108 (VX-689) | 1000.0",False,False,False,3166.73,5991.59
"MLN8054 | 10000.0",False,False,False,930.834,4156.2
"Maraviroc | 10.0",False,False,False,1218.12,5993.04
"Maraviroc | 100.0",False,False,False,-480.06,2150.22
"Maraviroc | 1000.0",False,False,False,-282.125,2880.71
"Maraviroc | 10000.0",False,False,False,369.217,2965.85
"Meprednisone | 10.0",False,False,False,1446.15,4942.76
"Meprednisone | 100.0",False,False,False,575.302,4488.77
"Meprednisone | 1000.0",False,False,False,4997.47,23003.1
"Meprednisone | 10000.0",False,False,False,-444.469,3204.71
"Mercaptopurine (6-MP) | 10.0",False,False,False,1421.05,6267.83
"Mercaptopurine (6-MP) | 100.0",False,False,False,3039.56,7879.11
"Mercaptopurine (6-MP) | 1000.0",False,False,False,-29.1837,2941.55
"Mesna  | 10.0",False,False,False,-390.915,1868.57
"Mesna  | 100.0",False,False,False,-133.551,1861.9
"Mesna  | 1000.0",False,False,False,-350.036,1738.02
"Mesna  | 10000.0",False,False,False,1315,6071.42
"Mocetinostat (MGCD0103) | 10.0",False,False,False,1390.49,12204.6
"Mocetinostat (MGCD0103) | 100.0",False,False,False,-428.541,3113.34
"Momelotinib (CYT387) | 10.0",False,False,False,1496.6,7184.46
"Momelotinib (CYT387) | 100.0",False,False,False,-882.661,614.516
"Momelotinib (CYT387) | 1000.0",False,False,False,-661.99,1089.95
"Motesanib Diphosphate (AMG-706) | 10.0",False,False,False,-548.456,1676.54
"Motesanib Diphosphate (AMG-706) | 100.0",False,False,False,-255.699,3022.52
"Motesanib Diphosphate (AMG-706) | 1000.0",False,False,False,-38.256,5006.61
"Motesanib Diphosphate (AMG-706) | 10000.0",False,False,False,260.394,4502.05
"NVP-BSK805 2HCl | 10.0",False,False,False,-339.613,2056.54
"NVP-BSK805 2HCl | 100.0",False,False,False,2400.16,12561.7
"NVP-BSK805 2HCl | 1000.0",False,False,False,145.021,2980.73
"Navitoclax (ABT-263) | 10.0",False,False,False,-586.759,1340.9
"Navitoclax (ABT-263) | 100.0",False,False,False,-484.31,1982.92
"Navitoclax (ABT-263) | 1000.0",False,False,False,73.7111,2971.78
"Nilotinib (AMN-107) | 10.0",True,False,False,150.617,4948.64
"Nintedanib (BIBF 1120) | 10.0",False,False,False,496.124,4067.43
"Nintedanib (BIBF 1120) | 100.0",False,False,False,818.679,5547.22
"Obatoclax Mesylate (GX15-070) | 10.0",False,False,False,1085.76,3392.57
"Obatoclax Mesylate (GX15-070) | 100.0",False,False,False,906.938,3805.43
"Obatoclax Mesylate (GX15-070) | 1000.0",True,False,False,-502.661,1496.46
"Ofloxacin | 10.0",False,False,False,692.345,5469.49
"Ofloxacin | 100.0",False,False,False,-505.34,2379.49
"Ofloxacin | 1000.0",False,False,False,1668.37,9359.37
"Ofloxacin | 10000.0",False,False,False,84.7535,3140.6
"PCI-34051 | 10.0",False,False,False,-700.939,2283.94
"PCI-34051 | 100.0",False,False,False,850.501,7109.79
"PCI-34051 | 1000.0",False,False,False,608.77,3337.07
"PD173074 | 10.0",False,False,False,923.516,3357.82
"PD173074 | 100.0",False,False,False,1543.28,10349.4
"PD173074 | 1000.0",False,False,False,-368.804,1830.5
"PD173074 | 10000.0",True,False,False,520.684,5546.67
"PD98059 | 10.0",False,False,False,2070.83,11494
"PD98059 | 100.0",False,False,False,-311.274,1653.49
"PD98059 | 1000.0",False,False,False,2516.96,10817
"PD98059 | 10000.0",False,False,False,-135.852,3281.33
"PF-3845 | 10.0",False,False,False,720.453,6341.36
"PF-3845 | 100.0",False,False,False,117.349,3771.32
"PF-3845 | 1000.0",False,False,False,-363.902,2917.57
"PF-3845 | 10000.0",False,False,False,-317.758,2125.12
"PF-573228 | 100.0",False,False,False,-501.836,1467.45
"PF-573228 | 1000.0",False,False,False,328.912,5116.25
"PF-573228 | 10000.0",True,False,False,2492.89,6695.43
"PFI-1 (PF-6405761) | 10.0",False,False,False,-377.763,2409.8
"PFI-1 (PF-6405761) | 100.0",False,False,False,-190.042,2257.59
"PFI-1 (PF-6405761) | 1000.0",False,False,False,30.2151,5288.63
"PHA-680632 | 10.0",False,False,False,-423.712,1286.81
"PHA-680632 | 100.0",False,False,False,-496.6,2176.39
"PJ34 | 10.0",False,False,False,-319.762,2851.94
"PJ34 | 100.0",False,False,False,495.796,6150.75
"PJ34 | 1000.0",False,False,False,882.956,4623.42
"PJ34 | 10000.0",False,False,False,1578.09,9685.05
"Pelitinib (EKB-569) | 10.0",False,False,False,-75.0141,3445.26
"Pelitinib (EKB-569) | 100.0",False,False,False,-185.027,2916.18
"Pelitinib (EKB-569) | 1000.0",False,False,False,214.69,5334.93
"Pirarubicin | 10.0",False,False,False,427.361,5311.16
"Pirarubicin | 100.0",False,False,False,-322.74,1635.35
"Pirarubicin | 1000.0",True,False,False,4983.95,12338.3
"Pracinostat (SB939) | 10.0",False,False,False,-342.211,2197.17
"Pracinostat (SB939) | 100.0",False,False,False,39.7428,4368.67
"Prednisone  | 10.0",False,False,False,1952.86,9219.88
"Prednisone  | 100.0",False,False,False,332.543,2099.78
"Prednisone  | 1000.0",False,False,False,264.996,3728.16
"Prednisone  | 10000.0",False,False,False,-742.262,569.361
"Quercetin | 10.0",False,False,False,-9.48044,4964.19
