perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Entacapone | 10.0",False,False,False,3080.46,56438.2
"Entacapone | 100.0",False,False,False,-4442.24,54355.1
"Entacapone | 1000.0",False,False,False,-12862.9,12843.8
"Entacapone | 10000.0",False,False,False,-2992.96,74449.3
"Entinostat (MS-275) | 10.0",False,False,False,-4573.26,52778.8
"Entinostat (MS-275) | 100.0",False,False,False,4000.9,36945
"Entinostat (MS-275) | 1000.0",False,False,False,9153.8,100248
"Entinostat (MS-275) | 10000.0",False,False,False,7038.91,63709
"Enzastaurin (LY317615) | 10.0",False,False,False,-7170,39280.7
"Enzastaurin (LY317615) | 100.0",False,False,False,7264.7,91380.3
"Enzastaurin (LY317615) | 1000.0",False,False,False,4969.7,95022.5
"Enzastaurin (LY317615) | 10000.0",False,False,False,-1065.3,31776.6
"Epothilone A | 10.0",False,False,False,131.482,30794.3
"FLLL32 | 10.0",False,False,False,-11393.9,20673.4
"FLLL32 | 100.0",False,False,False,-8840.17,26269
"FLLL32 | 1000.0",False,False,False,6897.22,128705
"FLLL32 | 10000.0",True,False,False,29816.9,180440
"Fasudil (HA-1077) HCl | 10.0",False,False,False,-8118.8,38201.3
"Fasudil (HA-1077) HCl | 100.0",False,False,False,-4262.94,42707.2
"Fasudil (HA-1077) HCl | 1000.0",False,False,False,9329.15,63173.7
"Fasudil (HA-1077) HCl | 10000.0",False,False,False,2000.87,45543
"Fedratinib (SAR302503, TG101348) | 10.0",False,False,False,3366.63,34095.6
"Fedratinib (SAR302503, TG101348) | 100.0",False,False,False,4965.92,64378.1
"Fedratinib (SAR302503, TG101348) | 1000.0",False,False,False,-5932.34,26599.9
"Fedratinib (SAR302503, TG101348) | 10000.0",True,False,False,-4727.44,60417.8
"Filgotinib (GLPG0634) | 10.0",False,False,False,7479.77,81913.7
"Filgotinib (GLPG0634) | 100.0",False,False,False,-756.452,38256
"Filgotinib (GLPG0634) | 1000.0",False,False,False,5309.13,66811.1
"Filgotinib (GLPG0634) | 10000.0",False,False,False,436.922,40011.1
"Flavopiridol HCl | 10.0",False,False,False,29581.5,173159
"Flavopiridol HCl | 100.0",False,False,False,15579.2,86571.9
"Fluorouracil (5-Fluoracil, 5-FU) | 10.0",False,False,False,-9239.93,25175
"Fluorouracil (5-Fluoracil, 5-FU) | 100.0",False,False,False,-856.234,53533.1
"Fluorouracil (5-Fluoracil, 5-FU) | 1000.0",False,False,False,6243.94,72177.8
"Fluorouracil (5-Fluoracil, 5-FU) | 10000.0",False,False,False,45310.8,186326
"Fulvestrant | 10.0",False,False,False,3355.17,61056.6
"Fulvestrant | 100.0",False,False,False,7658.2,95907.5
