perturbation,native_rankable,native_n_work,native_n_cells,matched50_rankable,matched50_n_work,matched50_n_cells,dataset,native_unrankable,matched50_unrankable
THOC6,False,50,116,False,50,116,Replogle,1,1
THOC7,True,50,132,True,50,132,Replogle,0,0
TICRR,True,50,157,True,50,157,Replogle,0,0
TIMM13,True,50,178,True,50,178,Replogle,0,0
TIMM23B,True,200,498,True,50,498,Replogle,0,0
TIMM8A,False,50,162,False,50,162,Replogle,1,1
TIMM9,True,100,201,False,50,201,Replogle,0,1
TIPIN,False,50,109,False,50,109,Replogle,1,1
TKT,False,100,202,False,50,202,Replogle,1,1
TLCD1,False,50,155,False,50,155,Replogle,1,1
TM7SF2,False,50,100,False,50,100,Replogle,1,1
TMA16,False,50,172,False,50,172,Replogle,1,1
TMED2,False,50,137,False,50,137,Replogle,1,1
TMEM127,False,50,132,False,50,132,Replogle,1,1
TMEM240,False,50,176,False,50,176,Replogle,1,1
TMEM258,False,50,193,False,50,193,Replogle,1,1
TMSB10,True,100,228,False,50,228,Replogle,0,1
TMX2,True,50,109,True,50,109,Replogle,0,0
TNPO3,True,50,100,True,50,100,Replogle,0,0
TOE1,False,50,146,False,50,146,Replogle,1,1
TOMM20,False,50,111,False,50,111,Replogle,1,1
TOMM22,True,50,104,True,50,104,Replogle,0,0
TOMM40,False,50,117,False,50,117,Replogle,1,1
TOP1,True,50,123,True,50,123,Replogle,0,0
TOP3A,False,50,159,False,50,159,Replogle,1,1
TPX2,True,100,361,True,50,361,Replogle,0,0
TRA2B,True,100,222,True,50,222,Replogle,0,0
TRAPPC1,False,50,106,False,50,106,Replogle,1,1
TRAPPC11,False,50,110,False,50,110,Replogle,1,1
TRAPPC3,False,50,163,False,50,163,Replogle,1,1
TRAPPC4,False,50,196,False,50,196,Replogle,1,1
TRAPPC5,False,50,132,False,50,132,Replogle,1,1
TRAPPC8,False,50,152,False,50,152,Replogle,1,1
TREX2,True,100,275,True,50,275,Replogle,0,0
TRMT112,True,100,201,True,50,201,Replogle,0,0
TRMT6,False,50,114,False,50,114,Replogle,1,1
TRNP1,False,50,156,False,50,156,Replogle,1,1
TRNT1,False,100,203,False,50,203,Replogle,1,1
TRPM7,True,50,128,True,50,128,Replogle,0,0
TRRAP,True,200,427,True,50,427,Replogle,0,0
TSEN2,True,50,177,True,50,177,Replogle,0,0
TSEN34,False,100,275,False,50,275,Replogle,1,1
TSR1,True,50,188,True,50,188,Replogle,0,0
TSR2,True,200,523,True,50,523,Replogle,0,0
TSSK3,False,100,212,False,50,212,Replogle,1,1
TTC4,False,50,108,False,50,108,Replogle,1,1
TTI1,True,50,151,True,50,151,Replogle,0,0
TTK,True,50,199,True,50,199,Replogle,0,0
TUBB,True,50,107,True,50,107,Replogle,0,0
TUBD1,False,50,190,False,50,190,Replogle,1,1
TUBE1,False,50,134,False,50,134,Replogle,1,1
TUBGCP2,True,100,238,True,50,238,Replogle,0,0
TUBGCP6,False,50,153,False,50,153,Replogle,1,1
TULP1,False,50,123,False,50,123,Replogle,1,1
TUT1,False,100,208,False,50,208,Replogle,1,1
TVP23C,False,50,113,False,50,113,Replogle,1,1
TWF1,False,50,140,False,50,140,Replogle,1,1
TWISTNB,True,50,169,True,50,169,Replogle,0,0
TXNL4B,False,50,135,False,50,135,Replogle,1,1
U2AF1,True,50,141,True,50,141,Replogle,0,0
U2AF2,False,50,107,False,50,107,Replogle,1,1
U2SURP,True,100,290,True,50,290,Replogle,0,0
UBA1,True,100,287,True,50,287,Replogle,0,0
UBA2,True,50,172,True,50,172,Replogle,0,0
UBA5,False,50,102,False,50,102,Replogle,1,1
UBAP1,True,50,104,True,50,104,Replogle,0,0
UBC,False,50,107,False,50,107,Replogle,1,1
UBE2D3,False,50,142,False,50,142,Replogle,1,1
UBE2H,False,50,194,False,50,194,Replogle,1,1
UBE2L3,False,100,201,False,50,201,Replogle,1,1
UBE2M,False,50,177,False,50,177,Replogle,1,1
UBE2N,False,50,174,False,50,174,Replogle,1,1
UBL5,True,100,232,True,50,232,Replogle,0,0
UBQLN4,True,50,152,True,50,152,Replogle,0,0
UBTF,False,100,202,False,50,202,Replogle,1,1
UFL1,False,50,162,False,50,162,Replogle,1,1
UFM1,False,50,130,False,50,130,Replogle,1,1
UNC45A,False,50,178,False,50,178,Replogle,1,1
UPF1,True,50,131,True,50,131,Replogle,0,0
UPF2,True,50,154,True,50,154,Replogle,0,0
UQCC2,False,50,101,False,50,101,Replogle,1,1
UQCRC1,False,100,316,False,50,316,Replogle,1,1
UQCRFS1,True,50,119,True,50,119,Replogle,0,0
UQCRQ,True,50,166,True,50,166,Replogle,0,0
URB2,True,50,198,True,50,198,Replogle,0,0
URM1,False,50,123,False,50,123,Replogle,1,1
UROD,False,100,201,False,50,201,Replogle,1,1
USF2,False,50,185,False,50,185,Replogle,1,1
USP36,False,50,174,False,50,174,Replogle,1,1
USP39,True,100,220,True,50,220,Replogle,0,0
USP5,False,50,199,False,50,199,Replogle,1,1
USP7,False,100,276,False,50,276,Replogle,1,1
USP9X,False,50,112,False,50,112,Replogle,1,1
USPL1,True,50,100,True,50,100,Replogle,0,0
UTP15,True,50,152,True,50,152,Replogle,0,0
UTP20,True,50,105,True,50,105,Replogle,0,0
UTP23,True,50,163,True,50,163,Replogle,0,0
UXS1,False,50,124,False,50,124,Replogle,1,1
UXT,True,100,215,True,50,215,Replogle,0,0
VARS,True,100,220,True,50,220,Replogle,0,0
VARS2,False,50,126,False,50,126,Replogle,1,1
VBP1,False,50,116,False,50,116,Replogle,1,1
VCP,False,100,239,False,50,239,Replogle,1,1
VEZT,False,100,204,False,50,204,Replogle,1,1
VHL,False,50,162,False,50,162,Replogle,1,1
VMP1,False,50,106,False,50,106,Replogle,1,1
VPS13D,False,50,140,False,50,140,Replogle,1,1
VPS18,False,50,157,False,50,157,Replogle,1,1
VPS29,True,50,165,True,50,165,Replogle,0,0
VPS33A,False,50,182,False,50,182,Replogle,1,1
VPS37C,False,50,177,False,50,177,Replogle,1,1
VPS41,False,100,332,False,50,332,Replogle,1,1
VPS51,False,50,101,False,50,101,Replogle,1,1
VPS54,True,100,321,False,50,321,Replogle,0,1
WAC,False,50,162,False,50,162,Replogle,1,1
WBP11,True,100,312,True,50,312,Replogle,0,0
WBP1L,False,50,199,False,50,199,Replogle,1,1
WDHD1,True,50,182,True,50,182,Replogle,0,0
WDR1,False,50,102,False,50,102,Replogle,1,1
WDR12,True,100,213,True,50,213,Replogle,0,0
WDR18,False,50,105,False,50,105,Replogle,1,1
WDR25,False,50,159,False,50,159,Replogle,1,1
WDR26,False,100,226,False,50,226,Replogle,1,1
WDR3,True,100,365,True,50,365,Replogle,0,0
WDR33,True,50,103,True,50,103,Replogle,0,0
WDR36,True,100,285,True,50,285,Replogle,0,0
WDR4,False,100,347,False,50,347,Replogle,1,1
WDR54,False,100,208,False,50,208,Replogle,1,1
WDR61,True,50,108,True,50,108,Replogle,0,0
WDR7,False,50,103,False,50,103,Replogle,1,1
WDR74,False,50,178,False,50,178,Replogle,1,1
WDR75,True,50,158,True,50,158,Replogle,0,0
WDTC1,True,50,112,True,50,112,Replogle,0,0
WNK1,False,50,137,False,50,137,Replogle,1,1
WTAP,False,50,165,False,50,165,Replogle,1,1
XAB2,True,50,153,True,50,153,Replogle,0,0
XPO1,True,100,207,True,50,207,Replogle,0,0
XPO5,False,100,221,False,50,221,Replogle,1,1
XRCC1,False,100,254,False,50,254,Replogle,1,1
XRCC2,False,50,157,False,50,157,Replogle,1,1
YARS,False,50,185,False,50,185,Replogle,1,1
YARS2,False,50,190,False,50,190,Replogle,1,1
YEATS2,True,100,240,True,50,240,Replogle,0,0
YEATS4,True,100,231,True,50,231,Replogle,0,0
YJEFN3,False,50,179,False,50,179,Replogle,1,1
YRDC,False,50,106,False,50,106,Replogle,1,1
YTHDC1,True,100,237,True,50,237,Replogle,0,0
ZBTB11,False,50,146,False,50,146,Replogle,1,1
ZBTB17,False,50,160,False,50,160,Replogle,1,1
ZCRB1,True,50,146,True,50,146,Replogle,0,0
ZFC3H1,True,50,117,True,50,117,Replogle,0,0
ZFP69B,False,50,151,False,50,151,Replogle,1,1
ZMAT2,True,200,436,True,50,436,Replogle,0,0
ZMAT5,True,50,100,True,50,100,Replogle,0,0
ZNF133,False,50,102,False,50,102,Replogle,1,1
ZNF207,False,100,283,False,50,283,Replogle,1,1
ZNF253,False,50,118,False,50,118,Replogle,1,1
ZNF284,False,100,218,False,50,218,Replogle,1,1
ZNF317,False,50,132,False,50,132,Replogle,1,1
ZNF335,False,50,146,False,50,146,Replogle,1,1
ZNF407,False,50,112,False,50,112,Replogle,1,1
ZNF468,False,100,207,False,50,207,Replogle,1,1
ZNF492,False,50,157,False,50,157,Replogle,1,1
ZNF506,False,50,177,False,50,177,Replogle,1,1
ZNF559,False,50,111,False,50,111,Replogle,1,1
ZNF574,False,100,314,False,50,314,Replogle,1,1
ZNF658,False,50,111,False,50,111,Replogle,1,1
ZNF674,False,50,126,False,50,126,Replogle,1,1
ZNF687,True,100,205,False,50,205,Replogle,0,1
ZNF718,False,100,330,False,50,330,Replogle,1,1
ZNF763,False,50,148,False,50,148,Replogle,1,1
ZNHIT6,True,50,117,True,50,117,Replogle,0,0
ZRSR2,False,50,113,False,50,113,Replogle,1,1
ZW10,False,100,200,False,50,200,Replogle,1,1
AHR,True,200,558,True,50,558,Norman,0,0
AHR_FEV,True,100,276,True,50,276,Norman,0,0
AHR_KLF1,True,200,481,True,50,481,Norman,0,0
ARID1A,True,100,232,True,50,232,Norman,0,0
ARRDC3,True,200,495,False,50,495,Norman,0,1
ATL1,True,100,379,True,50,379,Norman,0,0
BAK1,True,400,1457,False,50,1457,Norman,0,1
BCL2L11,False,200,582,False,50,582,Norman,1,1
BCL2L11_BAK1,False,50,175,False,50,175,Norman,1,1
BCL2L11_TGFBR2,True,200,463,True,50,463,Norman,0,0
BCORL1,True,200,533,False,50,533,Norman,0,1
BPGM,True,200,464,True,50,464,Norman,0,0
BPGM_SAMD1,True,100,301,True,50,301,Norman,0,0
BPGM_ZBTB1,True,100,358,True,50,358,Norman,0,0
C19orf26,True,400,872,True,50,872,Norman,0,0
C3orf72,True,100,264,True,50,264,Norman,0,0
CBFA2T3,True,200,658,True,50,658,Norman,0,0
CBL,True,200,663,True,50,663,Norman,0,0
CBL_CNN1,True,100,348,True,50,348,Norman,0,0
CBL_PTPN12,True,100,335,True,50,335,Norman,0,0
CBL_PTPN9,True,100,306,True,50,306,Norman,0,0
CBL_TGFBR2,True,50,188,True,50,188,Norman,0,0
CBL_UBASH3B,True,200,410,True,50,410,Norman,0,0
CDKN1A,True,100,360,True,50,360,Norman,0,0
CDKN1B,True,200,550,True,50,550,Norman,0,0
CDKN1B_CDKN1A,True,50,134,True,50,134,Norman,0,0
CDKN1C,True,100,230,True,50,230,Norman,0,0
CDKN1C_CDKN1A,True,50,126,True,50,126,Norman,0,0
CDKN1C_CDKN1B,True,50,107,True,50,107,Norman,0,0
CEBPA,True,200,460,True,50,460,Norman,0,0
CEBPB,True,200,488,True,50,488,Norman,0,0
CEBPB_MAPK1,True,200,412,True,50,412,Norman,0,0
CEBPB_OSR2,True,100,211,True,50,211,Norman,0,0
CEBPB_PTPN12,True,100,331,True,50,331,Norman,0,0
CEBPE,True,400,1233,True,50,1233,Norman,0,0
CEBPE_CEBPA,True,50,180,True,50,180,Norman,0,0
CEBPE_CEBPB,True,50,114,True,50,114,Norman,0,0
CEBPE_CNN1,True,100,237,True,50,237,Norman,0,0
CEBPE_KLF1,True,200,468,True,50,468,Norman,0,0
CEBPE_PTPN12,True,200,415,True,50,415,Norman,0,0
CEBPE_RUNX1T1,True,400,1219,True,50,1219,Norman,0,0
CEBPE_SPI1,True,50,179,True,50,179,Norman,0,0
CELF2,True,200,475,True,50,475,Norman,0,0
CITED1,True,100,215,True,50,215,Norman,0,0
CKS1B,True,100,241,True,50,241,Norman,0,0
CLDN6,True,200,670,True,50,670,Norman,0,0
CNN1,True,200,765,True,50,765,Norman,0,0
CNN1_MAPK1,True,100,398,True,50,398,Norman,0,0
CNN1_UBASH3A,True,50,178,True,50,178,Norman,0,0
CNNM4,True,200,470,True,50,470,Norman,0,0
COL1A1,True,100,328,True,50,328,Norman,0,0
COL2A1,True,200,598,True,50,598,Norman,0,0
CSRNP1,True,200,478,False,50,478,Norman,0,1
DLX2,True,200,732,True,50,732,Norman,0,0
DUSP9,True,200,731,True,50,731,Norman,0,0
DUSP9_ETS2,True,200,787,True,50,787,Norman,0,0
DUSP9_IGDCC3,True,100,382,True,50,382,Norman,0,0
DUSP9_KLF1,True,100,366,True,50,366,Norman,0,0
DUSP9_MAPK1,True,100,290,True,50,290,Norman,0,0
DUSP9_PRTG,True,100,297,True,50,297,Norman,0,0
DUSP9_SNAI1,True,50,183,True,50,183,Norman,0,0
EGR1,True,100,322,True,50,322,Norman,0,0
ELMSAN1,True,400,937,True,50,937,Norman,0,0
ETS2,True,400,1201,True,50,1201,Norman,0,0
ETS2_CEBPE,True,100,354,True,50,354,Norman,0,0
ETS2_CNN1,True,400,905,True,50,905,Norman,0,0
ETS2_IGDCC3,True,200,441,True,50,441,Norman,0,0
ETS2_IKZF3,True,200,445,True,50,445,Norman,0,0
ETS2_MAP7D1,True,100,324,True,50,324,Norman,0,0
ETS2_MAPK1,True,200,459,True,50,459,Norman,0,0
ETS2_PRTG,True,200,445,True,50,445,Norman,0,0
FEV,True,200,704,True,50,704,Norman,0,0
FEV_CBFA2T3,True,50,159,True,50,159,Norman,0,0
FEV_ISL2,True,100,284,True,50,284,Norman,0,0
FEV_MAP7D1,True,100,277,True,50,277,Norman,0,0
FOSB,True,200,630,True,50,630,Norman,0,0
FOSB_CEBPE,True,50,151,True,50,151,Norman,0,0
FOSB_IKZF3,True,100,247,True,50,247,Norman,0,0
FOSB_OSR2,True,100,382,True,50,382,Norman,0,0
