dataset,fpr,tpr,threshold
Replogle,0.07502467917077986,0.8376068376068376,0.39085959012106036
Replogle,0.07601184600197433,0.8376068376068376,0.39083493021621263
Replogle,0.07601184600197433,0.8388278388278388,0.39070995629293054
Replogle,0.0769990128331688,0.8388278388278388,0.3906728769836991
Replogle,0.0769990128331688,0.8412698412698413,0.390482560083199
Replogle,0.07798617966436328,0.8412698412698413,0.3900065095933803
Replogle,0.07798617966436328,0.8424908424908425,0.3896147620931663
Replogle,0.07897334649555775,0.8424908424908425,0.3895957145710325
Replogle,0.07897334649555775,0.8473748473748474,0.3884006927754854
Replogle,0.07996051332675222,0.8473748473748474,0.3882830431238897
Replogle,0.07996051332675222,0.8620268620268621,0.3836343646802054
Replogle,0.08094768015794669,0.8620268620268621,0.38297924811779
Replogle,0.08094768015794669,0.8693528693528694,0.3808969426812477
Replogle,0.08292201382033564,0.8693528693528694,0.3806935825445409
Replogle,0.08292201382033564,0.8705738705738706,0.38056066018092294
Replogle,0.08390918065153011,0.8705738705738706,0.38037585025027637
Replogle,0.08390918065153011,0.8717948717948718,0.3798296642142215
Replogle,0.08489634748272458,0.8717948717948718,0.3797916680243057
Replogle,0.08489634748272458,0.873015873015873,0.37937626328498353
Replogle,0.08588351431391905,0.873015873015873,0.37923680864745446
Replogle,0.08588351431391905,0.8742368742368742,0.37918613198682394
Replogle,0.08687068114511352,0.8742368742368742,0.37896287273549306
Replogle,0.08687068114511352,0.8815628815628815,0.3763514215751999
Replogle,0.087857847976308,0.8815628815628815,0.3761444929413948
Replogle,0.087857847976308,0.884004884004884,0.37530583560491504
Replogle,0.09279368213228036,0.884004884004884,0.3737715394834696
Replogle,0.09279368213228036,0.8852258852258852,0.37372645179503267
Replogle,0.09378084896347483,0.8852258852258852,0.37365633883172134
Replogle,0.09378084896347483,0.8864468864468864,0.37359659683389557
Replogle,0.09575518262586377,0.8864468864468864,0.3724230036107564
Replogle,0.09575518262586377,0.8876678876678876,0.3719716290471492
Replogle,0.09871668311944719,0.8876678876678876,0.37054174661153616
Replogle,0.09871668311944719,0.8888888888888888,0.3699491372509096
Replogle,0.1016781836130306,0.8888888888888888,0.36877858712636885
Replogle,0.1016781836130306,0.8913308913308914,0.36751900985856556
Replogle,0.10266535044422508,0.8913308913308914,0.3673557186204012
Replogle,0.10266535044422508,0.8937728937728938,0.36689270501317756
Replogle,0.10365251727541955,0.8937728937728938,0.36596208981705014
Replogle,0.10365251727541955,0.894993894993895,0.36475450516027286
Replogle,0.10562685093780849,0.894993894993895,0.3645080559144047
Replogle,0.10562685093780849,0.905982905982906,0.36240119388255565
Replogle,0.10661401776900296,0.905982905982906,0.36175519819049473
Replogle,0.10661401776900296,0.9072039072039072,0.3613016602274695
Replogle,0.10760118460019744,0.9072039072039072,0.3609843218468599
Replogle,0.10760118460019744,0.9096459096459096,0.3608272614769697
Replogle,0.11056268509378085,0.9096459096459096,0.3606819866684203
Replogle,0.11056268509378085,0.9120879120879121,0.3601849558751575
Replogle,0.11352418558736427,0.9120879120879121,0.3599913486890403
Replogle,0.11352418558736427,0.9145299145299145,0.35954444280911196
Replogle,0.11451135241855874,0.9145299145299145,0.3594645766359271
Replogle,0.11451135241855874,0.9181929181929182,0.35715326978060863
