source,gene,depth_m,n_var,eta2,rho2,rho2_nn_median,rho2_nn_median_lo,rho2_nn_median_hi,rho2_nn_geomean,frac_above_noise,nn_nonpositive,ceiling_pds,p_correct,p_winner,eff_rank,rho2_target,rank,hetero
dialled,TP53,25,20,37.666,1.98435,0.02495,0.01644,0.05369,,0.62,3,0.7605,0.0,0.004,1.0,2.0,1.0,0.0
dialled,TP53,25,20,37.666,5.96192,0.06373,0.03582,0.08671,,0.655,1,0.7566,0.0,0.0,1.0,6.0,1.0,0.0
dialled,TP53,25,20,37.666,-0.00102,0.00211,-0.00865,0.00656,,0.45,9,0.4953,0.0,0.0,,0.0,1.0,1.0
dialled,TP53,25,20,37.666,0.04834,0.01205,0.00425,0.02504,,0.57,5,0.5882,0.454,0.722,1.0,0.05,1.0,1.0
dialled,TP53,25,20,37.666,0.19723,0.02615,0.00695,0.04183,,0.61,5,0.6508,0.808,0.958,1.0,0.2,1.0,1.0
dialled,TP53,25,20,37.666,0.59478,0.03252,0.02061,0.04828,,0.645,3,0.705,0.638,0.69,1.0,0.6,1.0,1.0
dialled,TP53,25,20,37.666,1.98713,0.04906,0.02635,0.07445,,0.635,1,0.7387,0.13,0.396,1.0,2.0,1.0,1.0
dialled,TP53,25,20,37.666,5.96675,0.06042,0.02335,0.14094,0.072972,0.645,0,0.7474,0.012,0.112,1.0,6.0,1.0,1.0
dialled,TP53,25,20,37.666,-0.00102,0.00211,-0.00865,0.00656,,0.45,9,0.4953,0.0,0.0,,0.0,1.0,2.0
dialled,TP53,25,20,37.666,0.04997,0.01397,0.00246,0.02457,,0.535,5,0.5703,0.374,0.492,1.0,0.05,1.0,2.0
dialled,TP53,25,20,37.666,0.20049,0.01884,4e-05,0.03036,,0.57,6,0.6111,0.02,0.364,1.0,0.2,1.0,2.0
dialled,TP53,25,20,37.666,0.60042,0.02839,0.00402,0.05219,,0.62,5,0.6355,0.148,0.168,1.0,0.6,1.0,2.0
dialled,TP53,25,20,37.666,1.99743,0.03312,0.01138,0.09783,,0.62,5,0.6734,0.49,0.708,1.0,2.0,1.0,2.0
dialled,TP53,25,20,37.666,5.98458,0.03258,0.01394,0.19562,,0.64,4,0.7016,0.434,0.62,1.0,6.0,1.0,2.0
dialled,TP53,25,45,37.625,-0.00064,-0.00375,-0.00974,0.004,,0.4756,24,0.4974,0.0,0.006,,0.0,-1.0,0.0
dialled,TP53,25,45,37.625,0.04898,0.04868,0.04132,0.05434,,0.7533,1,0.6532,1.0,1.0,38.46,0.05,-1.0,0.0
dialled,TP53,25,45,37.625,0.19919,0.20045,0.19061,0.20724,0.196642,0.9956,0,0.9211,1.0,1.0,38.46,0.2,-1.0,0.0
dialled,TP53,25,45,37.625,0.60057,0.58365,0.5711,0.58988,0.578437,1.0,0,0.999,0.61,0.65,38.46,0.6,-1.0,0.0
dialled,TP53,25,45,37.625,2.00691,1.8418,1.81872,1.86573,1.845292,1.0,0,1.0,0.0,0.0,38.46,2.0,-1.0,0.0
dialled,TP53,25,45,37.625,6.02742,5.40175,5.3744,5.43367,5.410938,1.0,0,1.0,0.0,0.0,38.46,6.0,-1.0,0.0
dialled,TP53,25,45,37.625,-0.00064,-0.00375,-0.00974,0.004,,0.4756,24,0.4974,0.0,0.006,,0.0,-1.0,1.0
dialled,TP53,25,45,37.625,0.0495,0.01376,0.00536,0.03014,,0.5867,13,0.5958,0.992,0.998,6.91,0.05,-1.0,1.0
dialled,TP53,25,45,37.625,0.20024,0.04311,0.02722,0.06316,,0.7444,6,0.7025,0.996,0.996,6.91,0.2,-1.0,1.0
dialled,TP53,25,45,37.625,0.60238,0.09134,0.0656,0.14606,,0.8111,6,0.8064,1.0,1.0,6.91,0.6,-1.0,1.0
dialled,TP53,25,45,37.625,2.01021,0.26134,0.14379,0.40489,,0.8844,5,0.8912,1.0,1.0,6.91,2.0,-1.0,1.0
dialled,TP53,25,45,37.625,6.03314,0.73617,0.37125,1.16457,0.62002,0.9356,0,0.9279,1.0,1.0,6.91,6.0,-1.0,1.0
dialled,TP53,25,45,37.625,-0.00064,-0.00375,-0.00974,0.004,,0.4756,24,0.4974,0.0,0.006,,0.0,-1.0,2.0
dialled,TP53,25,45,37.625,0.04975,0.00785,-0.00204,0.01507,,0.5444,19,0.5466,0.462,0.632,2.7,0.05,-1.0,2.0
dialled,TP53,25,45,37.625,0.20074,0.0095,0.00173,0.02056,,0.5733,16,0.5834,0.838,0.952,2.7,0.2,-1.0,2.0
dialled,TP53,25,45,37.625,0.60325,0.01066,0.0002,0.02967,,0.6,16,0.6251,0.93,0.988,2.7,0.6,-1.0,2.0
dialled,TP53,25,45,37.625,2.0118,0.03201,0.01313,0.04799,,0.6622,13,0.6807,0.982,0.984,2.7,2.0,-1.0,2.0
dialled,TP53,25,45,37.625,6.03588,0.03967,0.02088,0.08022,,0.7222,6,0.7354,0.998,0.998,2.7,6.0,-1.0,2.0
