gene,arm,method,K,n_var,pds,ci_lo,ci_hi
GATA1,random,GBoost-esm,20,172,0.50171,0.46377,0.53942
GATA1,random,GBoost-esm,25,172,0.50195,0.46189,0.54131
GATA1,random,GBoost-esm,45,172,0.50174,0.46245,0.53943
GATA1,random,GBoost-esm,90,172,0.50204,0.4584,0.54081
GATA1,random,GBoost-esm,254,172,0.50191,0.46337,0.53913
GATA1,random,GBoost-esm+theta,5,172,0.50054,0.46016,0.53913
GATA1,random,GBoost-esm+theta,10,172,0.50021,0.46014,0.53807
GATA1,random,GBoost-esm+theta,20,172,0.50035,0.46085,0.53788
GATA1,random,GBoost-esm+theta,25,172,0.50048,0.46091,0.54031
GATA1,random,GBoost-esm+theta,45,172,0.5003,0.46087,0.53915
GATA1,random,GBoost-esm+theta,90,172,0.50037,0.46397,0.54085
GATA1,random,GBoost-esm+theta,254,172,0.50034,0.4629,0.53911
GATA1,random,GBoost-theta,5,172,0.50368,0.46606,0.54305
GATA1,random,GBoost-theta,10,172,0.50418,0.46672,0.54211
GATA1,random,GBoost-theta,20,172,0.50421,0.46624,0.54201
GATA1,random,GBoost-theta,25,172,0.50387,0.46418,0.54132
GATA1,random,GBoost-theta,45,172,0.50441,0.46679,0.54061
GATA1,random,GBoost-theta,90,172,0.50427,0.46805,0.54118
GATA1,random,GBoost-theta,254,172,0.50414,0.46612,0.54216
GATA1,random,Gene-mean,5,172,0.49897,0.45906,0.53703
GATA1,random,Gene-mean,10,172,0.49895,0.45857,0.53971
GATA1,random,Gene-mean,20,172,0.49874,0.45878,0.53878
GATA1,random,Gene-mean,25,172,0.49906,0.46216,0.537
GATA1,random,Gene-mean,45,172,0.49888,0.45734,0.53855
GATA1,random,Gene-mean,90,172,0.49895,0.46009,0.53771
GATA1,random,Gene-mean,254,172,0.49901,0.45994,0.54106
GATA1,random,KNN-esm,5,172,0.50079,0.46131,0.5395
GATA1,random,KNN-esm,10,172,0.50158,0.4639,0.54145
GATA1,random,KNN-esm,20,172,0.50229,0.46417,0.54207
GATA1,random,KNN-esm,25,172,0.50147,0.46177,0.54205
GATA1,random,KNN-esm,45,172,0.50178,0.46258,0.54249
GATA1,random,KNN-esm,90,172,0.50191,0.46275,0.54253
GATA1,random,KNN-esm,254,172,0.50197,0.46208,0.54094
GATA1,random,KNN-esm+theta,5,172,0.50974,0.46984,0.54742
GATA1,random,KNN-esm+theta,10,172,0.5099,0.47242,0.54613
GATA1,random,KNN-esm+theta,20,172,0.50928,0.47093,0.54876
GATA1,random,KNN-esm+theta,25,172,0.50905,0.47014,0.54768
GATA1,random,KNN-esm+theta,45,172,0.50955,0.46912,0.54854
GATA1,random,KNN-esm+theta,90,172,0.5095,0.47125,0.54918
GATA1,random,KNN-esm+theta,254,172,0.50941,0.46996,0.54706
GATA1,random,KNN-theta,5,172,0.48505,0.44655,0.52225
GATA1,random,KNN-theta,10,172,0.48438,0.44842,0.52354
GATA1,random,KNN-theta,20,172,0.4845,0.44731,0.52161
GATA1,random,KNN-theta,25,172,0.48465,0.44487,0.52328
GATA1,random,KNN-theta,45,172,0.48482,0.44591,0.52485
GATA1,random,KNN-theta,90,172,0.48451,0.44782,0.52248
GATA1,random,KNN-theta,254,172,0.48454,0.44726,0.52369
GATA1,random,Lasso-esm,5,172,0.49824,0.46023,0.53776
GATA1,random,Lasso-esm,10,172,0.49858,0.46089,0.53718
GATA1,random,Lasso-esm,20,172,0.49872,0.45786,0.54067
GATA1,random,Lasso-esm,25,172,0.49889,0.45809,0.54003
GATA1,random,Lasso-esm,45,172,0.49911,0.46172,0.54066
GATA1,random,Lasso-esm,90,172,0.499,0.46014,0.53784
GATA1,random,Lasso-esm,254,172,0.49901,0.45925,0.53696
GATA1,random,Lasso-esm+theta,5,172,0.4995,0.45952,0.53795
GATA1,random,Lasso-esm+theta,10,172,0.49888,0.45856,0.53844
GATA1,random,Lasso-esm+theta,20,172,0.49887,0.4587,0.5393
GATA1,random,Lasso-esm+theta,25,172,0.49907,0.4593,0.53765
GATA1,random,Lasso-esm+theta,45,172,0.49885,0.45879,0.54096
GATA1,random,Lasso-esm+theta,90,172,0.49899,0.45864,0.53934
GATA1,random,Lasso-esm+theta,254,172,0.49909,0.45781,0.53876
GATA1,random,Lasso-theta,5,172,0.49848,0.45791,0.54018
GATA1,random,Lasso-theta,10,172,0.49936,0.46122,0.53894
GATA1,random,Lasso-theta,20,172,0.49854,0.45795,0.53768
GATA1,random,Lasso-theta,25,172,0.49909,0.45848,0.53943
GATA1,random,Lasso-theta,45,172,0.49913,0.4606,0.5393
GATA1,random,Lasso-theta,90,172,0.49922,0.45897,0.53918
GATA1,random,Lasso-theta,254,172,0.49909,0.45848,0.54005
GATA1,random,MLP-esm,5,172,0.49938,0.45947,0.53875
GATA1,random,MLP-esm,10,172,0.49881,0.45901,0.53895
GATA1,random,MLP-esm,20,172,0.49869,0.45805,0.53778
GATA1,random,MLP-esm,25,172,0.49903,0.45925,0.53908
GATA1,random,MLP-esm,45,172,0.49906,0.45763,0.53744
GATA1,random,MLP-esm,90,172,0.49912,0.46048,0.53706
GATA1,random,MLP-esm,254,172,0.49898,0.45829,0.53723
GATA1,random,MLP-esm+theta,5,172,0.49787,0.45656,0.53681
GATA1,random,MLP-esm+theta,10,172,0.49669,0.45808,0.53906
GATA1,random,MLP-esm+theta,20,172,0.4972,0.45596,0.5366
GATA1,random,MLP-esm+theta,25,172,0.49708,0.45705,0.53787
GATA1,random,MLP-esm+theta,45,172,0.49772,0.45977,0.53716
GATA1,random,MLP-esm+theta,90,172,0.49756,0.45911,0.5382
GATA1,random,MLP-esm+theta,254,172,0.49759,0.45654,0.53899
GATA1,random,MLP-theta,5,172,0.49694,0.45808,0.53723
GATA1,random,MLP-theta,10,172,0.49678,0.45705,0.53596
GATA1,random,MLP-theta,20,172,0.49767,0.45751,0.53752
GATA1,random,MLP-theta,25,172,0.49755,0.45659,0.53669
GATA1,random,MLP-theta,45,172,0.49742,0.45787,0.5394
GATA1,random,MLP-theta,90,172,0.49748,0.45715,0.53844
GATA1,random,MLP-theta,254,172,0.49741,0.45628,0.53636
GATA1,random,PerturbNet,5,172,0.52558,0.49181,0.55878
GATA1,random,PerturbNet,10,172,0.52632,0.49323,0.55934
GATA1,random,PerturbNet,20,172,0.52587,0.49176,0.55972
GATA1,random,PerturbNet,25,172,0.5258,0.49177,0.55841
GATA1,random,PerturbNet,45,172,0.52571,0.49389,0.55952
GATA1,random,PerturbNet,90,172,0.52577,0.493,0.55998
GATA1,random,PerturbNet,254,172,0.52591,0.49233,0.55868
