perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"canagliflozin|0.05",True,False,False,367,4357.28
"canagliflozin|0.5",True,False,False,8.36955,4537.48
"canagliflozin|5.0",False,False,False,1242.06,9076.47
"capivasertib|0.05",True,False,False,1688.31,4609.28
"capivasertib|0.5",True,False,False,4284.14,9895.87
"capivasertib|5.0",True,False,False,-485.914,2133.63
"capmatinib|0.05",True,False,False,2118.36,6730.16
"capmatinib|0.5",True,False,False,4686.93,11347.2
"capmatinib|5.0",True,False,False,668.349,7470.31
"captopril|0.05",False,False,False,379.798,3454.51
"captopril|0.5",True,False,False,-632.583,1862.44
"captopril|5.0",False,False,False,-44.8004,3734.57
"carbamazepine|0.05",False,False,False,3176.89,13712.5
"carbamazepine|0.5",True,False,False,-580.669,2913.89
"carbamazepine|5.0",True,False,False,1330.12,5782.92
"carbidopa|0.05",False,False,False,525.19,4189.71
"carbidopa|0.5",False,False,False,1130.41,6295.35
"carbidopa|5.0",False,False,False,250.885,3343.78
"celecoxib|0.05",True,False,False,-683.002,1255.66
"celecoxib|0.5",True,False,False,-821.116,918.173
"celecoxib|5.0",True,False,False,-243.068,1647.36
"cepharanthine|0.05",True,False,False,858.823,4818.3
"cepharanthine|0.5",True,False,False,-65.4016,2954.22
"cepharanthine|5.0",True,False,False,3559.53,9767.23
"chlorhexidine|0.05",True,False,False,-526.907,2124.66
"chlorhexidine|0.5",False,False,False,954.822,3628.69
"chlorhexidine|5.0",True,False,False,1818.99,5709.47
"ciclopirox|0.05",True,False,False,-400.772,1535.83
"ciclopirox|0.5",True,False,False,946.84,4830.24
"ciclopirox|5.0",True,False,False,954.096,5023.86
"cilostazol|0.05",True,False,False,628.478,5080.24
"cilostazol|0.5",True,False,False,5950.3,12510.4
"cilostazol|5.0",True,False,False,3062.3,7845.41
"cinacalcet|0.05",True,False,False,2282.87,6677.91
"cinacalcet|0.5",True,False,False,-442.437,1602.1
"cinacalcet|5.0",True,False,False,1686.36,5087.46
"citalopram|0.05",True,False,False,763.51,4563.91
"citalopram|0.5",False,False,False,170.829,3585.02
"citalopram|5.0",False,False,False,1196.01,6373.04
"clobetasol propionate|0.05",True,False,False,-444.14,2797.56
"clobetasol propionate|0.5",True,False,False,-536.077,1582.02
"clobetasol propionate|5.0",False,False,False,1127.93,4179.73
"clofarabine|0.05",False,False,False,406.169,7400.08
"clofarabine|0.5",True,False,False,3965.89,7254
"clofarabine|5.0",True,False,False,1108.68,5411.15
"clonidine|0.05",False,False,False,2013.31,5175.07
"clonidine|0.5",False,False,False,544.982,3956.16
"clonidine|5.0",True,False,False,6711.63,10573.9
"clopidogrel|0.05",True,False,False,1056.75,5970.55
"clopidogrel|0.5",True,False,False,-305.233,2906.62
"clopidogrel|5.0",True,False,False,-4.54629,3244.36
"clotrimazole|0.05",False,False,False,1429.85,6337.11
"clotrimazole|0.5",True,False,False,563.397,3549.16
"clotrimazole|5.0",False,False,False,1959.27,8687.53
"cloxacillin|0.05",True,False,False,2619.61,5988.27
"cloxacillin|0.5",True,False,False,1434.25,7167.02
"cloxacillin|5.0",False,False,False,834.288,4168.02
"cobimetinib|0.05",True,False,False,-472.678,2657.22
"cobimetinib|0.5",True,False,False,3068.38,8982.86
"cobimetinib|5.0",False,False,False,1254.78,7209.28
"cp21r7|0.05",True,False,False,-114.954,2767.58
"cp21r7|0.5",True,False,False,264.487,3658.06
"cp21r7|5.0",True,False,False,-324.632,3036.28
"crizotinib|0.05",False,False,False,1216.92,4667.42
"crizotinib|0.5",False,False,False,147.343,2298.84
"crizotinib|5.0",False,False,False,3140.8,9375.51
"cyclosporin a|0.05",False,False,False,1573.56,7564.94
"cyclosporin a|0.5",False,False,False,-407.892,1798.36
"cyclosporin a|5.0",False,False,False,970.229,6973.34
"cysteamine|0.05",True,False,False,2257.18,7137.49
"cysteamine|0.5",True,False,False,-323.733,3008.43
"cysteamine|5.0",True,False,False,2301.34,8685.42
"cytarabine|0.05",True,False,False,1232.25,7673.86
"cytarabine|0.5",False,False,False,1556.97,3993.22
"cytarabine|5.0",False,False,False,401.632,4056.94
"dabrafenib|0.05",False,False,False,559.952,3406.23
"dabrafenib|0.5",False,False,False,617.765,2188.09
"dabrafenib|5.0",False,False,False,1844.63,7346.08
"daidzin|0.05",False,False,False,3337.44,9557.36
"daidzin|0.5",True,False,False,895.786,5063.82
"daidzin|5.0",False,False,False,5439.09,30535.7
"dapagliflozin ((2s)-1,2-propanediol, hydrate)|0.05",True,False,False,3.81119,2665.29
"dapagliflozin ((2s)-1,2-propanediol, hydrate)|0.5",True,False,False,321.557,4440.8
"dapagliflozin ((2s)-1,2-propanediol, hydrate)|5.0",False,False,False,-143.167,3470.6
"dapagliflozin|0.05",False,False,False,2108.49,5464.4
"dapagliflozin|0.5",True,False,False,745.433,3363.29
"dapagliflozin|5.0",True,False,False,782.918,3062.82
"daptomycin|0.05",True,False,False,1149.93,2387.88
"daptomycin|0.5",True,False,False,543.418,4266.94
"daptomycin|5.0",False,False,False,3459.27,12184.4
"darinaparsin|0.05",True,False,False,1582.88,6726.06
"darinaparsin|0.5",False,False,False,2329.92,14286.7
"darinaparsin|5.0",False,False,False,4291.65,15314.1
"darolutamide|0.05",False,False,False,1143.03,8515.15
"darolutamide|0.5",False,False,False,2581.99,17168.7
"darolutamide|5.0",True,False,False,577.785,5167.43
"decitabine|0.05",True,False,False,-936.203,1151.81
"decitabine|0.5",True,False,False,-847.711,928.293
"decitabine|5.0",True,False,False,-686.593,1070.06
"delamanid|0.05",False,False,False,3243.89,14825.7
"delamanid|0.5",False,False,False,576.271,5908.43
"delamanid|5.0",False,False,False,1277.78,7368.81
"demeclocycline|0.05",False,False,False,662.115,3244.81
"demeclocycline|0.5",True,False,False,-159.251,3329.19
"demeclocycline|5.0",False,False,False,3823.91,18011.4
"dexamethasone|0.05",False,False,False,1887.25,10773.6
"dexamethasone|0.5",False,False,False,2332.21,5156.79
"dexamethasone|5.0",False,False,False,1939.88,7377.47
"dexmedetomidine|0.05",True,False,False,656.255,4080.13
"dexmedetomidine|0.5",True,False,False,1732.41,8335.09
"dexmedetomidine|5.0",True,False,False,1386.33,7209.67
"diammonium glycyrrhizinate|0.05",True,False,False,411.565,3481.45
"diammonium glycyrrhizinate|0.5",True,False,False,-192.029,1161.77
"diammonium glycyrrhizinate|5.0",True,False,False,1506.91,7128.95
"digitoxin|0.05",False,False,False,213.201,4268.25
"digitoxin|0.5",True,False,False,102.096,3685.42
"digitoxin|5.0",True,False,False,766.372,4522.07
"dihydroartemisinin|0.05",False,False,False,1706.42,10018.3
"dihydroartemisinin|0.5",True,False,False,910.996,8047.97
"dihydroartemisinin|5.0",False,False,False,1673.26,4993.27
"dimethyl fumarate|0.05",True,False,False,-398.476,1259.7
"dimethyl fumarate|0.5",False,False,False,100.504,2333.17
"dimethyl fumarate|5.0",True,False,False,-58.5978,3361.26
"dinaciclib|0.05",True,False,False,532.442,3184.41
"dinaciclib|0.5",True,False,False,-173.721,2993.57
"dinaciclib|5.0",True,False,False,50.4356,3455.1
"diphenhydramine|0.05",True,False,False,2400.29,5289.43
"diphenhydramine|0.5",False,False,False,1401.35,5993.18
"diphenhydramine|5.0",False,False,False,1509.01,5826.29
"docetaxel|0.05",True,False,False,-390.614,2642.41
"docetaxel|0.5",False,False,False,545.498,4434.32
"docetaxel|5.0",True,False,False,4148.47,13377.3
"dorzolamide|0.05",True,False,False,285.784,7088.15
"dorzolamide|0.5",True,False,False,555.956,6169
"dorzolamide|5.0",True,False,False,2389.35,6415.55
"doxorubicin|0.05",True,False,False,319.203,3115.53
"doxorubicin|0.5",True,False,False,2309.85,8074.21
"doxorubicin|5.0",True,False,False,634.583,1967.28
"doxycycline|0.05",True,False,False,-242.274,2272.69
"doxycycline|0.5",True,False,False,2553.05,9572.35
"doxycycline|5.0",False,False,False,-146.974,3545.02
