perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Disulfiram  | 1000.0",True,False,False,-624.113,34676.2
"Disulfiram  | 10000.0",False,False,False,-7597.71,26366.3
"Divalproex Sodium | 10.0",True,False,False,-9543.72,38608.5
"Divalproex Sodium | 100.0",False,False,False,-1654.58,33218.6
"Divalproex Sodium | 1000.0",False,False,False,-2948.69,50158.9
"Divalproex Sodium | 10000.0",False,False,False,1887.07,41377.2
"Droxinostat | 10.0",False,False,False,-707.685,67540.5
"Droxinostat | 100.0",False,False,False,3990.51,76214.7
"Droxinostat | 1000.0",False,False,False,-2341.74,60021
"Droxinostat | 10000.0",False,False,False,9939.69,60929.9
"EED226 | 10.0",False,False,False,367.569,28813.3
"EED226 | 100.0",False,False,False,-8875.48,18127
"EED226 | 1000.0",False,False,False,-6849.73,34372.5
"EED226 | 10000.0",False,False,False,4640.7,63684.5
"ENMD-2076 | 10.0",False,False,False,2895.46,52331.3
"ENMD-2076 | 100.0",False,False,False,-9226.63,38780.8
"ENMD-2076 | 1000.0",False,False,False,13779.6,75443.2
"ENMD-2076 | 10000.0",False,False,False,115886,250870
"ENMD-2076 L-(+)-Tartaric acid  | 10.0",False,False,False,10984.1,113357
"ENMD-2076 L-(+)-Tartaric acid  | 100.0",False,False,False,7862.18,94318
"ENMD-2076 L-(+)-Tartaric acid  | 1000.0",False,False,False,24681,82391.5
"ENMD-2076 L-(+)-Tartaric acid  | 10000.0",False,False,False,22738.6,107693
"Ellagic acid | 10.0",False,False,False,-1966.91,48615
"Ellagic acid | 100.0",False,False,False,12657.9,76136.2
"Ellagic acid | 1000.0",False,False,False,-3363.04,45103.3
"Ellagic acid | 10000.0",False,False,False,-3009.49,43265.6
"Entacapone | 10.0",False,False,False,3080.45,56438.9
"Entacapone | 100.0",False,False,False,-4442.27,54356.2
"Entacapone | 1000.0",False,False,False,-12863.1,12843.9
"Entacapone | 10000.0",False,False,False,-2993.03,74450.4
"Entinostat (MS-275) | 10.0",False,False,False,-4573.37,52779.6
