perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Lenalidomide (CC-5013) | 1000.0",False,False,False,886.547,8037.35
"Linifanib (ABT-869) | 10.0",False,False,False,239.8,6895.99
"Linifanib (ABT-869) | 100.0",False,False,False,1001.25,10053.9
"Linifanib (ABT-869) | 1000.0",False,False,False,-399.434,7463.86
"Linifanib (ABT-869) | 10000.0",False,False,False,1453.73,9435.88
"Lomustine  | 10.0",False,False,False,-224.473,8648.01
"Lomustine  | 100.0",False,False,False,-796.868,4591.29
"Lomustine  | 1000.0",False,False,False,433.827,9109.36
"Lomustine  | 10000.0",False,False,False,85.7578,9186.94
"Luminespib (AUY-922, NVP-AUY922) | 10.0",False,False,False,3188.73,13658.4
"Luminespib (AUY-922, NVP-AUY922) | 10000.0",False,False,False,-1658.52,3771.08
"M344 | 10.0",False,False,False,-1667.57,2447.8
"M344 | 100.0",False,False,False,-676.454,3548.78
"M344 | 1000.0",False,False,False,69.8116,10333.1
"MC1568 | 10.0",False,False,False,668.771,7895.57
"MC1568 | 100.0",False,False,False,31.5965,5475.71
"MC1568 | 1000.0",False,False,False,1696.79,8444.61
"MK-0752 | 10.0",False,False,False,2359.42,12786.3
"MK-0752 | 100.0",False,False,False,1188.96,7842.1
"MK-0752 | 1000.0",False,False,False,1839.38,8902.07
"MK-0752 | 10000.0",False,False,False,1229.76,9394.26
"MK-5108 (VX-689) | 10.0",False,False,False,626.928,10939.5
"MK-5108 (VX-689) | 100.0",False,False,False,-836.983,3613.91
"MK-5108 (VX-689) | 1000.0",False,False,False,3532.41,15162.1
"Maraviroc | 10.0",False,False,False,1139.59,15226.5
"Maraviroc | 100.0",False,False,False,-2182.37,2649.45
"Maraviroc | 1000.0",False,False,False,410.049,13179
"Maraviroc | 10000.0",False,False,False,-1163.29,4508.56
"Meprednisone | 10.0",True,False,False,1804.92,8765.69
"Meprednisone | 100.0",False,False,False,2209.09,19154.6
"Meprednisone | 1000.0",True,False,False,1404.88,16495
"Meprednisone | 10000.0",False,False,False,1221.09,9416
"Mercaptopurine (6-MP) | 10.0",False,False,False,340.004,2811.54
"Mercaptopurine (6-MP) | 100.0",False,False,False,1394.77,13218.7
"Mercaptopurine (6-MP) | 1000.0",False,False,False,-697.064,2410.81
"Mesna  | 10.0",False,False,False,-1384.6,5175.66
"Mesna  | 100.0",False,False,False,285.269,9102.67
