method,split,gene,metric,n_test,obs_pds,null_mean,null_lo,null_hi,p_above_obs
GBoost-esm,split1,GATA1,PDS_L2,52,0.5196,0.5001,0.4645,0.5362,0.159
GBoost-esm+theta,split1,GATA1,PDS_cos,52,0.5068,0.4994,0.4683,0.5324,0.322
GBoost-esm+theta,split1,GATA1,PDS_L1,52,0.5113,0.5,0.4589,0.5385,0.282
GBoost-esm+theta,split1,GATA1,PDS_L2,52,0.5124,0.4996,0.4608,0.5392,0.244
KNN-theta,split1,GATA1,PDS_cos,52,0.5015,0.5002,0.4612,0.5403,0.475
KNN-theta,split1,GATA1,PDS_L1,52,0.5302,0.5006,0.4559,0.5441,0.108
KNN-theta,split1,GATA1,PDS_L2,52,0.5245,0.4993,0.4563,0.5434,0.14
KNN-esm,split1,GATA1,PDS_cos,52,0.5192,0.5002,0.4634,0.54,0.169
KNN-esm,split1,GATA1,PDS_L1,52,0.5226,0.499,0.457,0.543,0.143
KNN-esm,split1,GATA1,PDS_L2,52,0.5226,0.5004,0.4574,0.5441,0.154
KNN-esm+theta,split1,GATA1,PDS_cos,52,0.5192,0.4998,0.4657,0.5355,0.135
KNN-esm+theta,split1,GATA1,PDS_L1,52,0.549,0.4998,0.4559,0.5471,0.022
KNN-esm+theta,split1,GATA1,PDS_L2,52,0.546,0.4998,0.4532,0.5449,0.024
MLP-theta,split1,GATA1,PDS_cos,52,0.4947,0.4999,0.4864,0.5128,0.776
MLP-theta,split1,GATA1,PDS_L1,52,0.4883,0.4991,0.4555,0.5468,0.67
MLP-theta,split1,GATA1,PDS_L2,52,0.491,0.5002,0.4559,0.5468,0.642
MLP-esm,split1,GATA1,PDS_cos,52,0.5,0.5,0.4992,0.5008,0.708
MLP-esm,split1,GATA1,PDS_L1,52,0.4989,0.5,0.4974,0.5026,0.844
MLP-esm,split1,GATA1,PDS_L2,52,0.4996,0.5,0.4981,0.5019,0.651
MLP-esm+theta,split1,GATA1,PDS_cos,52,0.4981,0.5,0.4977,0.5023,0.965
MLP-esm+theta,split1,GATA1,PDS_L1,52,0.4985,0.5002,0.4902,0.5106,0.618
MLP-esm+theta,split1,GATA1,PDS_L2,52,0.5026,0.5,0.4906,0.5094,0.303
Gene-mean,split1,GATA1,PDS_cos,52,0.5,0.5,0.5,0.5,1.0
Gene-mean,split1,GATA1,PDS_L1,52,0.5,0.5,0.5,0.5,1.0
Gene-mean,split1,GATA1,PDS_L2,52,0.5,0.5,0.5,0.5,1.0
WT-null,split1,GATA1,PDS_cos,52,0.5,0.5,0.5,0.5,1.0
WT-null,split1,GATA1,PDS_L1,52,0.5,0.5,0.5,0.5,1.0
WT-null,split1,GATA1,PDS_L2,52,0.5,0.5,0.5,0.5,1.0
Ridge-theta,split1,JAK1,PDS_cos,9,0.4861,0.4998,0.4722,0.5278,0.886
Ridge-theta,split1,JAK1,PDS_L1,9,0.5139,0.5005,0.4444,0.5556,0.435
Ridge-theta,split1,JAK1,PDS_L2,9,0.4861,0.4986,0.4444,0.5417,0.701
Ridge-esm,split1,JAK1,PDS_cos,7,0.5,0.5008,0.4762,0.5238,0.874
Ridge-esm,split1,JAK1,PDS_L1,7,0.5476,0.4976,0.4048,0.5714,0.252
Ridge-esm,split1,JAK1,PDS_L2,7,0.5476,0.4995,0.4286,0.5714,0.285
