method,split,gene,metric,n_test,obs_pds,null_mean,null_lo,null_hi,p_above_obs
GBoost-esm,split6,TP53,PDS_L2,10,0.5111,0.502,0.4331,0.5778,0.452
GBoost-esm+theta,split6,TP53,PDS_cos,10,0.5667,0.4971,0.4111,0.5889,0.103
GBoost-esm+theta,split6,TP53,PDS_L1,10,0.5111,0.4997,0.4,0.5889,0.454
GBoost-esm+theta,split6,TP53,PDS_L2,10,0.5222,0.4993,0.4222,0.5667,0.329
KNN-theta,split6,TP53,PDS_cos,10,0.4111,0.4997,0.3778,0.6111,0.946
KNN-theta,split6,TP53,PDS_L1,10,0.3556,0.5023,0.3667,0.6333,0.986
KNN-theta,split6,TP53,PDS_L2,10,0.4111,0.5018,0.3889,0.6222,0.949
KNN-esm,split6,TP53,PDS_cos,10,0.4222,0.4977,0.4111,0.5889,0.964
KNN-esm,split6,TP53,PDS_L1,10,0.4556,0.5008,0.4111,0.5889,0.86
KNN-esm,split6,TP53,PDS_L2,10,0.4556,0.5014,0.4222,0.5778,0.896
KNN-esm+theta,split6,TP53,PDS_cos,10,0.4778,0.5018,0.3889,0.6,0.696
KNN-esm+theta,split6,TP53,PDS_L1,10,0.4444,0.4981,0.3778,0.6111,0.851
KNN-esm+theta,split6,TP53,PDS_L2,10,0.4889,0.5007,0.4108,0.6,0.644
MLP-theta,split6,TP53,PDS_cos,10,0.4778,0.4982,0.4444,0.5556,0.772
MLP-theta,split6,TP53,PDS_L1,10,0.4889,0.4995,0.4556,0.5333,0.794
MLP-theta,split6,TP53,PDS_L2,10,0.4889,0.499,0.4667,0.5333,0.824
MLP-esm,split6,TP53,PDS_cos,10,0.5,0.5,0.5,0.5,1.0
MLP-esm,split6,TP53,PDS_L1,10,0.5,0.5001,0.4889,0.5111,0.902
MLP-esm,split6,TP53,PDS_L2,10,0.5,0.5,0.5,0.5,1.0
MLP-esm+theta,split6,TP53,PDS_cos,10,0.5111,0.4999,0.4889,0.5111,0.247
MLP-esm+theta,split6,TP53,PDS_L1,10,0.5,0.5002,0.4889,0.5111,0.901
MLP-esm+theta,split6,TP53,PDS_L2,10,0.5,0.5,0.5,0.5,1.0
Gene-mean,split6,TP53,PDS_cos,10,0.5,0.5,0.5,0.5,1.0
Gene-mean,split6,TP53,PDS_L1,10,0.5,0.5,0.5,0.5,1.0
Gene-mean,split6,TP53,PDS_L2,10,0.5,0.5,0.5,0.5,1.0
WT-null,split6,TP53,PDS_cos,10,0.5,0.5,0.5,0.5,1.0
WT-null,split6,TP53,PDS_L1,10,0.5,0.5,0.5,0.5,1.0
WT-null,split6,TP53,PDS_L2,10,0.5,0.5,0.5,0.5,1.0
Ridge-theta,split6,KRAS,PDS_cos,8,0.5536,0.5007,0.4464,0.5714,0.076
Ridge-theta,split6,KRAS,PDS_L1,8,0.5357,0.5,0.4643,0.5357,0.076
Ridge-theta,split6,KRAS,PDS_L2,8,0.5,0.5,0.4643,0.5357,0.721
Ridge-esm,split6,KRAS,PDS_cos,8,0.5179,0.4991,0.4464,0.5357,0.371
Ridge-esm,split6,KRAS,PDS_L1,8,0.5179,0.5009,0.4643,0.5536,0.362
Ridge-esm,split6,KRAS,PDS_L2,8,0.5357,0.5004,0.4643,0.5357,0.071
Ridge-esm+theta,split6,KRAS,PDS_cos,8,0.5714,0.5004,0.4286,0.5714,0.059
Ridge-esm+theta,split6,KRAS,PDS_L1,8,0.5179,0.5006,0.4643,0.5357,0.383
Ridge-esm+theta,split6,KRAS,PDS_L2,8,0.5179,0.4995,0.4643,0.5357,0.203
Lasso-theta,split6,KRAS,PDS_cos,8,0.5,0.4999,0.4821,0.5179,0.863
Lasso-theta,split6,KRAS,PDS_L1,8,0.5179,0.5004,0.4821,0.5179,0.267
Lasso-theta,split6,KRAS,PDS_L2,8,0.5,0.5001,0.4821,0.5179,0.87
Lasso-esm,split6,KRAS,PDS_cos,8,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split6,KRAS,PDS_L1,8,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split6,KRAS,PDS_L2,8,0.5,0.5,0.5,0.5,1.0
Lasso-esm+theta,split6,KRAS,PDS_cos,8,0.5,0.4999,0.4821,0.5179,0.87
Lasso-esm+theta,split6,KRAS,PDS_L1,8,0.5179,0.5005,0.4821,0.5179,0.255
Lasso-esm+theta,split6,KRAS,PDS_L2,8,0.5,0.4995,0.4821,0.5179,0.858
RF-theta,split6,KRAS,PDS_cos,8,0.4821,0.5013,0.4107,0.5893,0.742
RF-theta,split6,KRAS,PDS_L1,8,0.4821,0.4992,0.4643,0.5357,0.862
RF-theta,split6,KRAS,PDS_L2,8,0.5,0.4997,0.4643,0.5357,0.697
RF-esm,split6,KRAS,PDS_cos,8,0.5179,0.4994,0.4464,0.5536,0.349
RF-esm,split6,KRAS,PDS_L1,8,0.5179,0.4993,0.4464,0.5357,0.351
RF-esm,split6,KRAS,PDS_L2,8,0.5179,0.5007,0.4464,0.5357,0.438
RF-esm+theta,split6,KRAS,PDS_cos,8,0.4821,0.5013,0.4643,0.5536,0.865
RF-esm+theta,split6,KRAS,PDS_L1,8,0.5,0.5001,0.4821,0.5179,0.742
RF-esm+theta,split6,KRAS,PDS_L2,8,0.5,0.5,0.4464,0.5357,0.697
GBoost-theta,split6,KRAS,PDS_cos,8,0.5357,0.5037,0.3571,0.6429,0.371
GBoost-theta,split6,KRAS,PDS_L1,8,0.5357,0.5019,0.4107,0.5893,0.293
GBoost-theta,split6,KRAS,PDS_L2,8,0.5357,0.5021,0.4286,0.5714,0.245
GBoost-esm,split6,KRAS,PDS_cos,8,0.5714,0.498,0.3393,0.6433,0.21
GBoost-esm,split6,KRAS,PDS_L1,8,0.5536,0.4989,0.4286,0.5893,0.15
GBoost-esm,split6,KRAS,PDS_L2,8,0.5536,0.4996,0.4107,0.5893,0.187
GBoost-esm+theta,split6,KRAS,PDS_cos,8,0.5714,0.4971,0.3393,0.6607,0.228
GBoost-esm+theta,split6,KRAS,PDS_L1,8,0.5536,0.5005,0.4107,0.5893,0.172
GBoost-esm+theta,split6,KRAS,PDS_L2,8,0.5536,0.4979,0.3929,0.5893,0.199
KNN-theta,split6,KRAS,PDS_cos,8,0.4643,0.5032,0.3393,0.6786,0.625
KNN-theta,split6,KRAS,PDS_L1,8,0.5179,0.5021,0.375,0.6071,0.484
KNN-theta,split6,KRAS,PDS_L2,8,0.4643,0.5008,0.4107,0.5897,0.805
KNN-esm,split6,KRAS,PDS_cos,8,0.4821,0.4992,0.2853,0.6969,0.573
KNN-esm,split6,KRAS,PDS_L1,8,0.5536,0.497,0.3571,0.6429,0.274
KNN-esm,split6,KRAS,PDS_L2,8,0.5714,0.5025,0.3571,0.6429,0.21
KNN-esm+theta,split6,KRAS,PDS_cos,8,0.5179,0.4948,0.3388,0.6607,0.367
KNN-esm+theta,split6,KRAS,PDS_L1,8,0.5,0.5018,0.3929,0.5893,0.58
KNN-esm+theta,split6,KRAS,PDS_L2,8,0.5179,0.5027,0.3929,0.6071,0.444
MLP-theta,split6,KRAS,PDS_cos,8,0.5536,0.5001,0.4464,0.5536,0.031
MLP-theta,split6,KRAS,PDS_L1,8,0.5357,0.5,0.4643,0.5357,0.09
MLP-theta,split6,KRAS,PDS_L2,8,0.5179,0.4993,0.4821,0.5179,0.104
MLP-esm,split6,KRAS,PDS_cos,8,0.5,0.5005,0.4821,0.5179,0.747
MLP-esm,split6,KRAS,PDS_L1,8,0.5,0.5,0.4821,0.5179,0.79
MLP-esm,split6,KRAS,PDS_L2,8,0.5,0.5,0.4821,0.5179,0.754
MLP-esm+theta,split6,KRAS,PDS_cos,8,0.5,0.4997,0.4821,0.5179,0.733
MLP-esm+theta,split6,KRAS,PDS_L1,8,0.4821,0.4998,0.4643,0.5357,0.924
MLP-esm+theta,split6,KRAS,PDS_L2,8,0.5,0.5,0.5,0.5,1.0
Gene-mean,split6,KRAS,PDS_cos,8,0.5,0.5,0.5,0.5,1.0
Gene-mean,split6,KRAS,PDS_L1,8,0.5,0.5,0.5,0.5,1.0
Gene-mean,split6,KRAS,PDS_L2,8,0.5,0.5,0.5,0.5,1.0
WT-null,split6,KRAS,PDS_cos,8,0.5,0.5,0.5,0.5,1.0
WT-null,split6,KRAS,PDS_L1,8,0.5,0.5,0.5,0.5,1.0
WT-null,split6,KRAS,PDS_L2,8,0.5,0.5,0.5,0.5,1.0
Ridge-theta,split6,GATA1,PDS_cos,52,0.4898,0.4999,0.4823,0.5185,0.858
Ridge-theta,split6,GATA1,PDS_L1,52,0.5079,0.4999,0.4785,0.5207,0.221
Ridge-theta,split6,GATA1,PDS_L2,52,0.5124,0.5002,0.4811,0.5204,0.12
Ridge-esm,split6,GATA1,PDS_cos,52,0.4996,0.5,0.494,0.5062,0.543
Ridge-esm,split6,GATA1,PDS_L1,52,0.5053,0.5001,0.4921,0.5087,0.113
Ridge-esm,split6,GATA1,PDS_L2,52,0.5045,0.5002,0.4925,0.5087,0.153
Ridge-esm+theta,split6,GATA1,PDS_cos,52,0.4925,0.4995,0.48,0.517,0.784
Ridge-esm+theta,split6,GATA1,PDS_L1,52,0.5075,0.5001,0.4789,0.5222,0.261
Ridge-esm+theta,split6,GATA1,PDS_L2,52,0.5113,0.5,0.4793,0.5211,0.144
Lasso-theta,split6,GATA1,PDS_cos,52,0.4992,0.5,0.4981,0.5015,0.801
Lasso-theta,split6,GATA1,PDS_L1,52,0.5015,0.5,0.4977,0.5023,0.145
Lasso-theta,split6,GATA1,PDS_L2,52,0.5008,0.5,0.4981,0.5019,0.283
Lasso-esm,split6,GATA1,PDS_cos,52,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split6,GATA1,PDS_L1,52,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split6,GATA1,PDS_L2,52,0.5,0.5,0.5,0.5,1.0
Lasso-esm+theta,split6,GATA1,PDS_cos,52,0.4992,0.5,0.4985,0.5019,0.819
Lasso-esm+theta,split6,GATA1,PDS_L1,52,0.5015,0.5001,0.4977,0.5023,0.135
Lasso-esm+theta,split6,GATA1,PDS_L2,52,0.5008,0.5,0.4981,0.5015,0.27
RF-theta,split6,GATA1,PDS_cos,52,0.4868,0.4999,0.4785,0.5215,0.875
RF-theta,split6,GATA1,PDS_L1,52,0.4959,0.4993,0.4679,0.5309,0.592
RF-theta,split6,GATA1,PDS_L2,52,0.4985,0.4998,0.4725,0.5298,0.532
RF-esm,split6,GATA1,PDS_cos,52,0.4928,0.5001,0.486,0.5136,0.846
RF-esm,split6,GATA1,PDS_L1,52,0.4974,0.4998,0.4781,0.5226,0.578
RF-esm,split6,GATA1,PDS_L2,52,0.5,0.5002,0.4778,0.5245,0.503
RF-esm+theta,split6,GATA1,PDS_cos,52,0.4977,0.5,0.4864,0.514,0.612
RF-esm+theta,split6,GATA1,PDS_L1,52,0.5049,0.5007,0.4781,0.5245,0.352
RF-esm+theta,split6,GATA1,PDS_L2,52,0.5057,0.4996,0.4774,0.5234,0.301
GBoost-theta,split6,GATA1,PDS_cos,52,0.486,0.5004,0.4751,0.5264,0.856
GBoost-theta,split6,GATA1,PDS_L1,52,0.4966,0.4997,0.4675,0.5321,0.565
GBoost-theta,split6,GATA1,PDS_L2,52,0.497,0.4998,0.4706,0.5324,0.571
GBoost-esm,split6,GATA1,PDS_cos,52,0.5128,0.4996,0.4687,0.5294,0.203
GBoost-esm,split6,GATA1,PDS_L1,52,0.5238,0.4992,0.4627,0.537,0.108
GBoost-esm,split6,GATA1,PDS_L2,52,0.5192,0.5004,0.4664,0.5351,0.147
GBoost-esm+theta,split6,GATA1,PDS_cos,52,0.5124,0.4995,0.4687,0.5291,0.204
GBoost-esm+theta,split6,GATA1,PDS_L1,52,0.5249,0.4996,0.4649,0.537,0.077
GBoost-esm+theta,split6,GATA1,PDS_L2,52,0.523,0.5001,0.4668,0.537,0.115
KNN-theta,split6,GATA1,PDS_cos,52,0.4977,0.5012,0.4623,0.5434,0.559
KNN-theta,split6,GATA1,PDS_L1,52,0.5124,0.5014,0.4566,0.5483,0.304
KNN-theta,split6,GATA1,PDS_L2,52,0.5102,0.4992,0.4551,0.5415,0.324
KNN-esm,split6,GATA1,PDS_cos,52,0.4849,0.4987,0.4642,0.5347,0.762
KNN-esm,split6,GATA1,PDS_L1,52,0.4989,0.4987,0.4521,0.5445,0.497
KNN-esm,split6,GATA1,PDS_L2,52,0.5011,0.4997,0.4555,0.546,0.475
KNN-esm+theta,split6,GATA1,PDS_cos,52,0.4936,0.4991,0.4638,0.5328,0.622
KNN-esm+theta,split6,GATA1,PDS_L1,52,0.5143,0.4999,0.4547,0.5475,0.29
KNN-esm+theta,split6,GATA1,PDS_L2,52,0.5128,0.4998,0.4581,0.5426,0.28
MLP-theta,split6,GATA1,PDS_cos,52,0.4898,0.4996,0.4849,0.5151,0.894
MLP-theta,split6,GATA1,PDS_L1,52,0.4959,0.4998,0.4521,0.5524,0.571
MLP-theta,split6,GATA1,PDS_L2,52,0.491,0.5008,0.4513,0.549,0.637
MLP-esm,split6,GATA1,PDS_cos,52,0.5,0.5,0.5,0.5,1.0
MLP-esm,split6,GATA1,PDS_L1,52,0.4989,0.5,0.4974,0.5026,0.828
MLP-esm,split6,GATA1,PDS_L2,52,0.5015,0.5,0.4977,0.5023,0.163
MLP-esm+theta,split6,GATA1,PDS_cos,52,0.4989,0.5,0.4977,0.5023,0.896
MLP-esm+theta,split6,GATA1,PDS_L1,52,0.506,0.4999,0.491,0.5087,0.103
MLP-esm+theta,split6,GATA1,PDS_L2,52,0.5068,0.5001,0.4917,0.5094,0.074
Gene-mean,split6,GATA1,PDS_cos,52,0.5,0.5,0.5,0.5,1.0
Gene-mean,split6,GATA1,PDS_L1,52,0.5,0.5,0.5,0.5,1.0
Gene-mean,split6,GATA1,PDS_L2,52,0.5,0.5,0.5,0.5,1.0
WT-null,split6,GATA1,PDS_cos,52,0.5,0.5,0.5,0.5,1.0
WT-null,split6,GATA1,PDS_L1,52,0.5,0.5,0.5,0.5,1.0
WT-null,split6,GATA1,PDS_L2,52,0.5,0.5,0.5,0.5,1.0
