perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Fasudil (HA-1077) HCl | 1000.0",False,False,False,-268.104,3262.62
"Fasudil (HA-1077) HCl | 10000.0",False,False,False,-491.5,1546.84
"Fedratinib (SAR302503, TG101348) | 10.0",False,False,False,-169.54,2528.27
"Fedratinib (SAR302503, TG101348) | 1000.0",False,False,False,345.465,2238.45
"Filgotinib (GLPG0634) | 10.0",False,False,False,107.571,2797.94
"Filgotinib (GLPG0634) | 100.0",False,False,False,3268.32,15402.8
"Filgotinib (GLPG0634) | 1000.0",False,False,False,162.289,5570.11
"Filgotinib (GLPG0634) | 10000.0",False,False,False,235.031,4015.94
"Flavopiridol HCl | 10.0",False,False,False,-371.586,2810.51
"Fluorouracil (5-Fluoracil, 5-FU) | 10.0",False,False,False,167.433,2246.29
"Fluorouracil (5-Fluoracil, 5-FU) | 100.0",False,False,False,-412.782,1776.44
"Fluorouracil (5-Fluoracil, 5-FU) | 1000.0",False,False,False,2295.68,9635.01
"Fluorouracil (5-Fluoracil, 5-FU) | 10000.0",False,False,False,62.1988,3055.87
"Fulvestrant | 10.0",False,False,False,520.456,5552.76
"Fulvestrant | 100.0",False,False,False,-823.721,981.21
"Fulvestrant | 1000.0",False,False,False,632.453,4873.84
"Fulvestrant | 10000.0",False,False,False,826.944,4415.15
"G007-LK | 10.0",False,False,False,1716.95,8520.49
"G007-LK | 100.0",False,False,False,222.249,2766.55
"G007-LK | 1000.0",False,False,False,1190.71,7418.44
"G007-LK | 10000.0",False,False,False,176.382,2183.23
"GSK J1 | 10.0",False,False,False,283.555,2945.57
"GSK J1 | 100.0",False,False,False,903.92,5806.05
"GSK J1 | 1000.0",False,False,False,265.888,3516.8
"GSK J1 | 10000.0",False,False,False,1049.08,6232.08
"GSK-LSD1 2HCl | 10.0",False,False,False,-364.935,2887.57
"GSK-LSD1 2HCl | 100.0",False,False,False,-650.808,1042.33
"GSK-LSD1 2HCl | 1000.0",False,False,False,-288.454,2325.9
"GSK-LSD1 2HCl | 10000.0",False,False,False,-48.454,3511.41
"GSK1070916 | 10.0",True,False,False,7063.65,16974.7
"Gandotinib (LY2784544) | 10.0",False,False,False,2667.42,9574.49
"Gandotinib (LY2784544) | 100.0",False,False,False,161.392,2484.23
"Gandotinib (LY2784544) | 1000.0",False,False,False,389.431,2536.14
"Gandotinib (LY2784544) | 10000.0",False,False,False,5907.09,13351.8
"Givinostat (ITF2357) | 10.0",False,False,False,1151.97,5682.47
"Givinostat (ITF2357) | 100.0",False,False,False,105.009,2072.9
"Glesatinib?(MGCD265) | 10.0",False,False,False,-7.99404,3460.35
"Glesatinib?(MGCD265) | 100.0",False,False,False,-224.627,3540.1
"Glesatinib?(MGCD265) | 1000.0",False,False,False,-754.167,1037.55
"Hesperadin | 10.0",False,False,False,2218.88,6386.33
"Hesperadin | 1000.0",True,False,False,3767.91,7488.9
"INO-1001 (3-Aminobenzamide) | 10.0",False,False,False,496.846,2403.05
"INO-1001 (3-Aminobenzamide) | 100.0",False,False,False,33.3668,3171.98
"INO-1001 (3-Aminobenzamide) | 1000.0",False,False,False,-378.061,2398.25
"INO-1001 (3-Aminobenzamide) | 10000.0",False,False,False,871.356,6526.51
"IOX2 | 10.0",False,False,False,964.189,4944.94
"IOX2 | 100.0",False,False,False,137.026,4431.67
"IOX2 | 1000.0",False,False,False,-428.482,1803.27
"IOX2 | 10000.0",False,False,False,638.456,3695.18
"ITSA-1 (ITSA1) | 10.0",False,False,False,583.513,5401.72
"ITSA-1 (ITSA1) | 100.0",False,False,False,-126.019,1623.33
"ITSA-1 (ITSA1) | 1000.0",False,False,False,912.18,6594.8
"ITSA-1 (ITSA1) | 10000.0",False,False,False,-296.622,4236.39
"Iniparib (BSI-201) | 10.0",False,False,False,-381.536,2295.29
"Iniparib (BSI-201) | 100.0",True,False,False,53.6258,2163.72
"Iniparib (BSI-201) | 1000.0",False,False,False,-251.312,2792.99
"Iniparib (BSI-201) | 10000.0",False,False,False,2268.85,17418.2
"Ivosidenib (AG-120) | 10.0",False,False,False,-63.0272,2706.15
"Ivosidenib (AG-120) | 100.0",False,False,False,250.152,5965.32
"Ivosidenib (AG-120) | 1000.0",False,False,False,542.645,3190.57
"Ivosidenib (AG-120) | 10000.0",False,False,False,-655.579,1574.83
"JNJ-26854165 (Serdemetan) | 10.0",False,False,False,499.714,5078.16
"JNJ-26854165 (Serdemetan) | 100.0",False,False,False,-630.472,1509.54
"JNJ-26854165 (Serdemetan) | 1000.0",False,False,False,57.2997,2939.95
"JNJ-26854165 (Serdemetan) | 10000.0",False,False,False,795.8,4714.93
"JNJ-7706621 | 10.0",False,False,False,983.52,5006.09
"JNJ-7706621 | 100.0",False,False,False,117.151,4756.14
"JNJ-7706621 | 1000.0",False,False,False,1105.15,6741.85
"KW-2449 | 10.0",False,False,False,-1078.44,377.658
"KW-2449 | 100.0",False,False,False,384.27,4106.12
"KW-2449 | 1000.0",False,False,False,1069.92,3156.68
"Ki16425 | 10.0",False,False,False,-155.819,3331.31
"Ki16425 | 100.0",False,False,False,187.905,6713.41
"Ki16425 | 1000.0",False,False,False,237.643,5115.44
"Ki16425 | 10000.0",False,False,False,-332.818,1911.22
"Ki8751 | 10.0",False,False,False,-710.107,1603.92
"Ki8751 | 100.0",False,False,False,-75.608,3460.64
"Ki8751 | 1000.0",False,False,False,-180.182,3402.95
