perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"JNJ-26854165 (Serdemetan) | 1000.0",False,False,False,-868.92,31142.3
"JNJ-7706621 | 10.0",False,False,False,2623.82,17862.6
"JNJ-7706621 | 100.0",False,False,False,4588.07,30619.9
"JNJ-7706621 | 1000.0",False,False,False,2820.12,17868.5
"JNJ-7706621 | 10000.0",False,False,False,15340.1,66616.8
"KW-2449 | 10.0",False,False,False,6351.52,35762.3
"KW-2449 | 100.0",False,False,False,-3432.95,11675.6
"Ki16425 | 10.0",False,False,False,930.306,19403
"Ki16425 | 100.0",False,False,False,441.371,26420.4
"Ki16425 | 1000.0",False,False,False,7711.45,26984.9
"Ki16425 | 10000.0",False,False,False,339.829,21269.7
"Ki8751 | 10.0",False,False,False,7859.69,31989.3
"Ki8751 | 100.0",False,False,False,-2832.83,12045.9
"Ki8751 | 1000.0",False,False,False,13981.2,61464
"Lapatinib (GW-572016) Ditosylate | 10.0",False,False,False,1321.36,17191.2
"Lapatinib (GW-572016) Ditosylate | 100.0",False,False,False,11711.1,43806
"Lenalidomide (CC-5013) | 10.0",False,False,False,3685.69,38969.4
"Lenalidomide (CC-5013) | 10000.0",False,False,False,141.406,19096.3
"Linifanib (ABT-869) | 10.0",False,False,False,-2153.22,10010.6
"Linifanib (ABT-869) | 100.0",False,False,False,-1405.59,17405.5
"Linifanib (ABT-869) | 1000.0",False,False,False,-564.324,23460.6
"Lomustine  | 10.0",False,False,False,4585.87,43416.3
"Lomustine  | 100.0",False,False,False,5046.26,32957.5
"Lomustine  | 1000.0",False,False,False,-655.477,18654.4
"Lomustine  | 10000.0",False,False,False,14445.7,52197.1
"Luminespib (AUY-922, NVP-AUY922) | 10.0",False,False,False,-2253.86,10141.8
"M344 | 10.0",False,False,False,6103.09,30941.7
"M344 | 100.0",False,False,False,4980.38,23603.6
"M344 | 1000.0",False,False,False,-3811.13,13706.2
"M344 | 10000.0",False,False,False,-4895.56,6399.38
"MC1568 | 10.0",False,False,False,1343.84,13292
"MC1568 | 100.0",False,False,False,-2920.75,18075.2
"MC1568 | 1000.0",False,False,False,1845.03,24082.8
"MC1568 | 10000.0",False,False,False,1320.59,22982.9
"MK-0752 | 10.0",False,False,False,338.513,18053.1
"MK-0752 | 100.0",False,False,False,3615.01,28092.7
"MK-0752 | 1000.0",False,False,False,1451.92,20983.2
"MK-5108 (VX-689) | 10.0",False,False,False,1784.18,27299.5
"MK-5108 (VX-689) | 100.0",False,False,False,-3249.53,12137.4
"MK-5108 (VX-689) | 1000.0",True,False,False,10128.5,32682.5
"MLN8054 | 10.0",False,False,False,-1652.01,10251.3
"MLN8054 | 1000.0",True,False,False,997.682,21226.6
"MLN8054 | 10000.0",False,False,False,6501.17,26688.6
"Maraviroc | 10.0",False,False,False,16643,31074.3
"Maraviroc | 100.0",False,False,False,3188.8,18298.1
"Maraviroc | 1000.0",False,False,False,4570.63,32365.1
"Maraviroc | 10000.0",False,False,False,8478.15,30612.3
"Meprednisone | 10.0",True,False,False,1364.31,18962.7
"Meprednisone | 100.0",False,False,False,7935.52,75136.3
"Meprednisone | 10000.0",False,False,False,-449.756,19428.8
"Mercaptopurine (6-MP) | 100.0",False,False,False,3141.43,47418.9
"Mesna  | 10.0",False,False,False,-2182.75,18563.2
"Mesna  | 100.0",False,False,False,5540.73,47129.7
"Mesna  | 10000.0",False,False,False,6660.66,35107.7
"Mocetinostat (MGCD0103) | 100.0",False,False,False,-3770.91,5543.07
"Mocetinostat (MGCD0103) | 1000.0",False,False,False,1022.29,19836.1
